demand_point,lambda_total,balk_effect,balk_ci_low_95,balk_ci_high_95,no_show_effect,no_show_ci_low_95,no_show_ci_high_95,balk_minus_no_show,difference_ci_low_95,difference_ci_high_95,difference_p_two_sided,difference_p_one_sided_balk_more_negative
q25,72.57457880190702,-0.051705025411329486,-0.08857521823588016,-0.014834832586778805,-0.23180433458489683,-0.26732435905423935,-0.1962843101155543,0.18009930917356734,0.12832295204360292,0.23187566630353176,9.26029919191999e-12,0.9999999999953698
q50,104.99073433363662,-0.07589820878172165,-0.09681302315766074,-0.054983394405782565,-0.1827809798381958,-0.20315864937224445,-0.16240331030414715,0.10688277105647416,0.07780733588527651,0.1359582062276718,5.807504321192244e-13,0.9999999999997097
q75,137.47462325196622,-0.10014194368160372,-0.12149566187422123,-0.0787882254889862,-0.13365519104942472,-0.15458028026177076,-0.11273010183707868,0.03351324736782101,0.003337086239634683,0.06368940849600735,0.029502196478029676,0.9852489017609851
