background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,gap_magnitude_focal,gap_location_arm,class2_balk_low_focal,class2_balk_high_focal,class2_low_regime_offer_share,class2_high_regime_offer_share,served_rate_gap,absolute_served_rate_gap,seed,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered,class_1_offered_delay_counts_json,class_2_offered_delay_counts_json
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.05,pre,0.55,0.7,0.1104708594007244,0.8895291405992756,0.00155224205806892,0.00155224205806892,2000,0.5017123287671232,1.0,0.16074807360078974,4.910143187859042,4.974415224723723,0.1615237051246917,0.15997146306662277,0.6801765980201278,0.6805152096464785,0.6798375589946218,0.25231164383561644,0.2495719178082192,0.4990582191780822,0.499486301369863,4.97478761304467,4.9740423663703215,0.00155224205806892,0.0006776506518566539,-0.0007452466743487207,18245,18222,18245,18222,5829,5834,12416,12388,0,0,2882,2919,2947,2915,0.0,0.0,0.0,4.900669068450849,4.919609187521426,0.6805152096464785,0.6798375589946218,0.15796108522882982,0.16019097793875536,0.0,0.0,36467,36467,"{""4"": 1994, ""5"": 14788, ""6"": 1392, ""7"": 71}","{""4"": 2013, ""5"": 14723, ""6"": 1432, ""7"": 54}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.05,pre,0.55,0.7,0.15265092448206727,0.8473490755179327,-0.002604816539725413,0.002604816539725413,2001,0.49803082191780823,1.0,0.16254102464259887,4.804602617845838,4.878789564443456,0.16124013779308813,0.16384495433281354,0.674890137397786,0.6735192799199912,0.676264201381154,0.24845890410958904,0.25188356164383563,0.5030821917808219,0.49768835616438356,4.876708523169241,4.880875473379372,-0.002604816539725413,-0.002744921461162786,0.004166950210130693,17998,17956,17998,17956,5876,5813,12122,12143,0,0,2974,2871,2902,2942,0.0,0.0,0.0,4.7901633764465625,4.8191983485291585,0.6735192799199912,0.676264201381154,0.16524058228692076,0.15989084428603254,0.0,0.0,35954,35954,"{""4"": 2745, ""5"": 14727, ""6"": 526}","{""4"": 2741, ""5"": 14613, ""6"": 602}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.05,post,0.5,0.6499999999999999,0.0007695267410542517,0.9992304732589458,-0.029078690974752158,0.029078690974752158,2000,0.5008561643835616,1.0,0.1616381088588795,6.293049040511727,6.3074617013669245,0.14708796653088188,0.17616665750563404,0.677521383976457,0.7046680612132555,0.6504149947782114,0.22876712328767124,0.2744006849315068,0.4593321917808219,0.5445205479452054,6.310745348453154,6.304182927499588,-0.029078690974752158,0.05425306643504413,-0.006562420953565962,18166,18193,18166,18193,5365,6360,12801,11833,0,0,2693,3155,2672,3205,0.0,0.0,0.0,6.283131407269338,6.301415094339623,0.7046680612132555,0.6504149947782114,0.1482439722558626,0.17341834771615455,0.0,0.0,36359,36359,"{""4"": 19, ""5"": 2536, ""6"": 8206, ""7"": 6591, ""8"": 814}","{""4"": 14, ""5"": 2490, ""6"": 8413, ""7"": 6500, ""8"": 776}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.05,post,0.5,0.6499999999999999,0.002153149671506653,0.9978468503284933,-0.026504004211539284,0.026504004211539284,2001,0.5007705479452055,1.0,0.16398562741846323,8.711099890600018,8.736484245439469,0.15071677644323905,0.17722078065477834,0.671558872305141,0.6945812807881774,0.6485949318169271,0.2331335616438356,0.2748287671232877,0.47106164383561644,0.5436643835616438,8.720706260032102,8.752222160878926,-0.026504004211539284,0.04598634897125031,0.03151590084682354,18067,18113,18067,18113,5518,6365,12549,11748,0,0,2779,3140,2723,3210,0.0,0.0,0.0,8.679775280898877,8.738256087981148,0.6945812807881774,0.6485949318169271,0.15381635025184037,0.17335615303925359,0.0,0.0,36180,36180,"{""4"": 33, ""5"": 1483, ""6"": 2249, ""7"": 2598, ""8"": 2484, ""9"": 2071, ""10"": 1607, ""11"": 2858, ""12"": 2581, ""13"": 103}","{""4"": 39, ""5"": 1523, ""6"": 2156, ""7"": 2551, ""8"": 2412, ""9"": 2115, ""10"": 1711, ""11"": 2862, ""12"": 2630, ""13"": 114}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.1,pre,0.6,0.7,0.1644098459514281,0.835590154048572,0.008247080404395174,0.008247080404395174,2000,0.49931506849315066,1.0,0.16046191916414626,4.810050596003773,4.881028320043992,0.16459815764796734,0.15635107724357217,0.6793786087434699,0.6718517292735396,0.6868592730661697,0.2554794520547945,0.24417808219178083,0.5093321917808219,0.48904109589041095,4.878151028738485,4.883887944739872,0.008247080404395174,-0.01500754379263003,0.005736916001386483,18129,18241,18129,18241,5949,5712,12180,12529,0,0,2965,2860,2984,2852,0.0,0.0,0.0,4.786014456211128,4.8350840336134455,0.6718517292735396,0.6868592730661697,0.16355011307849301,0.15678964969025821,0.0,0.0,36370,36370,"{""3"": 1, ""4"": 3081, ""5"": 14173, ""6"": 874}","{""3"": 1, ""4"": 2998, ""5"": 14360, ""6"": 882}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.1,pre,0.6,0.7,0.13744725160300322,0.8625527483969968,0.005264772672097712,0.005264772672097712,2001,0.4995719178082192,1.0,0.1605565371024735,4.849605353466026,4.908844964664311,0.16320854425098738,0.15794377157888967,0.6782243816254417,0.6730266451577015,0.6833452074313586,0.2511986301369863,0.24674657534246575,0.5032534246575342,0.4946917808219178,4.908271680480614,4.909409765988929,0.005264772672097712,-0.010318562273657128,0.0011380855083151786,17977,18247,17977,18247,5878,5778,12099,12469,0,0,2944,2896,2934,2882,0.0,0.0,0.0,4.83327662470228,4.866216683973693,0.6730266451577015,0.6833452074313586,0.16376481059131112,0.15871102098975173,0.0,0.0,36224,36224,"{""4"": 2465, ""5"": 14696, ""6"": 816}","{""4"": 2508, ""5"": 14884, ""6"": 855}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.1,post,0.5,0.6,0.0,1.0,-0.04445736052607918,0.04445736052607918,2000,0.4914383561643836,1.0,0.15923250813254672,12.096983485001685,12.095256111757857,0.13684327446406752,0.1813006349901467,0.6545983701979046,0.709414728455094,0.6004858018622404,0.21095890410958903,0.28356164383561644,0.4207191780821918,0.5875,12.064737242955065,12.125383147302065,-0.04445736052607918,0.10892892659285358,0.06064590434700001,18006,18268,17069,17291,4960,6908,12109,10383,0,0,2450,3550,2464,3312,0.05203820948572698,0.053481497700897745,0.05276506588741247,12.036290322580646,12.140561667631731,0.6724980562034877,0.5683709218305233,0.13606575585915806,0.19432888110356908,0.0,0.0,36274,34360,"{""7"": 670, ""8"": 768, ""9"": 266, ""10"": 626, ""11"": 1414, ""12"": 2334, ""13"": 10991}","{""7"": 605, ""8"": 697, ""9"": 275, ""10"": 600, ""11"": 1412, ""12"": 2284, ""13"": 11418}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.1,post,0.5,0.6,0.0,1.0,-0.05633792024755191,0.05633792024755191,2001,0.505736301369863,1.0,0.16415963587921847,12.390981253166695,12.382543551935312,0.13610481508098846,0.19244273532854037,0.6479576669243118,0.702561669829222,0.593060689161798,0.2107876712328767,0.29563356164383564,0.425513698630137,0.580222602739726,12.382056451612904,12.383033265768452,-0.05633792024755191,0.10950098066742397,0.000976814155547956,18089,17943,16864,16774,5016,6826,11848,9948,0,0,2508,3324,2462,3453,0.06772071424622698,0.06515075516914674,0.06644094138543517,12.404505582137162,12.381043070612364,0.6549836917463652,0.5544223374017723,0.13864779700370392,0.18525330212339075,0.0,0.0,36032,33638,"{""7"": 92, ""8"": 634, ""9"": 438, ""10"": 495, ""11"": 572, ""12"": 2318, ""13"": 12315}","{""7"": 91, ""8"": 619, ""9"": 449, ""10"": 494, ""11"": 566, ""12"": 2298, ""13"": 12257}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.2,pre,0.7,0.7,0.24629670572628787,0.7537032942737122,0.023312549538215016,0.023312549538215016,2000,0.5016267123287671,1.0,0.16174157768396655,4.738046272493573,4.7923185166790825,0.17337887719684866,0.15006632765863365,0.6780067875175896,0.6539033662057187,0.7021888127349104,0.26943493150684933,0.2324486301369863,0.5378424657534246,0.4613013698630137,4.793289625915928,4.791344240548309,0.023312549538215016,-0.048285446529191756,-0.0019453853676187904,18151,18092,18151,18092,6282,5388,11869,12704,0,0,3135,2673,3147,2715,0.0,0.0,0.0,4.685291308500478,4.799554565701559,0.6539033662057187,0.7021888127349104,0.17271775659743266,0.1477448596064559,0.0,0.0,36243,36243,"{""3"": 4, ""4"": 4432, ""5"": 13027, ""6"": 688}","{""4"": 4456, ""5"": 12955, ""6"": 681}"
H7B0019,A019,anchor,3.1,0.5,32,14,14,0.2,pre,0.7,0.7,0.22413888428152817,0.7758611157184718,0.015861471843756386,0.015861471843756386,2001,0.5044520547945206,1.0,0.16269830321423645,4.747666752290436,4.804386811974066,0.1706135036898337,0.1547520318460773,0.6777762449993102,0.66136138341227,0.6942555426549455,0.26523972602739726,0.23964041095890412,0.5264554794520548,0.473458904109589,4.805430113448618,4.803339415049483,0.015861471843756386,-0.03289415924267547,-0.0020906983991348937,18158,18087,18158,18087,6149,5530,12009,12557,0,0,3051,2731,3098,2799,0.0,0.0,0.0,4.701902748414376,4.798553345388789,0.66136138341227,0.6942555426549455,0.16802511289789623,0.15099242549897718,0.0,0.0,36245,36245,"{""3"": 2, ""4"": 4081, ""5"": 13523, ""6"": 552}","{""3"": 6, ""4"": 4048, ""5"": 13530, ""6"": 503}"
