class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
6,0.7,0.18610958904109587,0.003744721751061489,50,0.0005295836287664683,0.0010379839123822777,class1_no_show_slot_loss
6,0.8,0.21297945205479452,0.0038646222811121876,50,0.0005465401243398103,0.0010712186437060282,class1_no_show_slot_loss
6,0.9,0.2391164383561644,0.003640815916089117,50,0.0005148891246637053,0.0010091826843408624,class1_no_show_slot_loss
9,0.0,0.0,0.0,50,0.0,0.0,class1_no_show_slot_loss
9,0.1,0.01933390410958904,0.0015639028144644144,50,0.0002211692570449029,0.0004334917438080097,class1_no_show_slot_loss
9,0.2,0.03838356164383561,0.002075687624630999,50,0.00029354655900031527,0.0005753512556406179,class1_no_show_slot_loss
9,0.3,0.05732191780821918,0.0025615669357076606,50,0.00036226027014042635,0.0007100301294752356,class1_no_show_slot_loss
9,0.4,0.07682020547945205,0.0031496368674409567,50,0.0004454259174485311,0.0008730347981991209,class1_no_show_slot_loss
9,0.5,0.09632020547945207,0.003191472840598209,50,0.0004513424175119374,0.0008846311383233972,class1_no_show_slot_loss
9,0.6,0.11573972602739727,0.0032345804480840503,50,0.00045743875382673064,0.000896579957500392,class1_no_show_slot_loss
9,0.7,0.13518664383561643,0.003571909817320322,50,0.0005051443307228004,0.0009900828882166888,class1_no_show_slot_loss
9,0.8,0.15496746575342465,0.003754095082269386,50,0.0005309092179783505,0.001040582067237567,class1_no_show_slot_loss
9,0.9,0.17403424657534244,0.0036375438069442137,50,0.0005144263785506766,0.001008275701959326,class1_no_show_slot_loss
12,0.0,0.0,0.0,50,0.0,0.0,class1_no_show_slot_loss
12,0.1,0.0001832191780821918,0.0002118528059727957,50,2.996051114335235e-05,5.8722601840970606e-05,class1_no_show_slot_loss
12,0.2,0.00035958904109589036,0.00033851155829496207,50,4.787276367607859e-05,9.383061680511404e-05,class1_no_show_slot_loss
12,0.3,0.0005136986301369863,0.00043963309089069063,50,6.217350796056183e-05,0.00012186007560270117,class1_no_show_slot_loss
12,0.4,0.0006746575342465753,0.0005774859561292736,50,8.166884712380129e-05,0.00016007094036265052,class1_no_show_slot_loss
