stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,start_within_step,start_post_gap,baseline_class1_low,baseline_class1_high,baseline_class2_low,baseline_class2_high,n_paired_seeds,mean_class1_low_regime_offer_share,mean_class1_high_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,delta_step_effect,delta_step_effect_ci_low,delta_step_effect_ci_high,absolute_step_effect,delta_gap_effect,delta_gap_effect_ci_low,delta_gap_effect_ci_high,absolute_gap_effect,absolute_effect_difference,absolute_effect_difference_ci_low,absolute_effect_difference_ci_high,share_seeds_gap_effect_larger,failure_component,classification
2,H8B0067,S036,sobol_symmetric,4.0,0.7,32,128.0,89.6,38.400000000000006,28,28,0.3,0.3,4,4,0.2,0.0,0.5,0.4,4,4,0.3,0.3,0.5,0.5,0.3,0.1,0.2,0.5,0.0,0.4,100,0.3358355097241724,0.6641644902758275,0.6511120228301057,True,0.0045388209588684,0.0040885204799662,0.0049891214377706,0.0046134267736455,-0.0016947029030014,-0.0021694597628083,-0.0012199460431946,0.0023054575642572,-0.0023079692093882,-0.0029191301680069,-0.0016968082507696,0.21,absolute_effect_difference_inconclusive,inconclusive
2,H8B0068,S037,sobol_symmetric,3.1,0.5,16,49.6,24.8,24.8,28,28,0.3,0.3,6,6,0.2,0.0,0.5,0.3,9,9,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.5,0.0,0.3,100,0.7636209123484953,0.2363790876515047,0.2112579525533212,True,0.0177078019371352,0.0165172427399568,0.0188983611343137,0.0177078019371352,-0.0013833277556416,-0.0024326242574496,-0.0003340312538336,0.0046095251190091,-0.0130982768181261,-0.014521632401626,-0.0116749212346262,0.05,within_class_effect_larger,reversed
2,H8B0069,S038,sobol_symmetric,1.25,0.5,64,80.0,40.0,40.0,14,14,0.0,0.0,9,9,0.2,0.0,0.5,0.2,4,4,0.3,0.3,0.7,0.7,0.3,0.3,0.2,0.5,0.0,0.2,100,0.5885564527593593,0.4114435472406406,0.3919712687642373,True,-0.0002829804169485,-0.0016581179914975,0.0010921571576004,0.0056821575959582,-0.0076980358629162,-0.008621416077471,-0.0067746556483613,0.0078778412537048,0.0021956836577466,0.0010216757522425,0.0033696915632506,0.67,absolute_effect_difference_inconclusive,inconclusive
2,H8B0082,S051,sobol_symmetric,2.0,0.1,64,128.0,12.8,115.2,28,28,0.1,0.1,6,6,0.4,0.0,0.5,0.4,6,6,0.0,0.0,0.7,0.7,0.1,0.1,0.4,0.5,0.0,0.4,100,0.503386878122341,0.496613121877659,0.5456102397531852,True,0.0301761223651554,0.0282982179205026,0.0320540268098081,0.0301761223651554,-0.0308688841898936,-0.0326088872058586,-0.0291288811739286,0.0308688841898936,0.0006927618247382,-0.0023583900220362,0.0037439136715127,0.51,absolute_effect_difference_inconclusive,inconclusive
2,H8B0096,S065,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.1,0.1,9,9,0.1,0.0,0.5,0.5,12,12,0.3,0.3,0.5,0.5,0.4,0.0,0.1,0.5,0.0,0.5,100,0.2915391115199923,0.7084608884800078,0.7048981598016095,True,0.0132921169995369,0.0118621774844634,0.0147220565146103,0.0134659338298679,-0.0226657809620834,-0.0241052480396776,-0.0212263138844891,0.0226657809620834,0.0091998471322154,0.0066881497320294,0.0117115445324015,0.79,,supported
2,H8B0098,S067,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,7,7,0.3,0.3,4,4,0.1,0.0,0.5,0.3,4,4,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,100,0.9340207065453736,0.0659792934546262,0.0388092171079883,True,0.0212033747673208,0.0202203824639087,0.0221863670707329,0.0212033747673208,-0.0015077218274475,-0.0025392092298458,-0.0004762344250493,0.0043417236526994,-0.0168616511146213,-0.0181268689944278,-0.0155964332348149,0.02,within_class_effect_larger,reversed
2,H8B0106,S075,sobol_symmetric,1.25,0.1,32,40.0,4.0,36.0,14,14,0.0,0.0,6,6,0.4,0.0,0.5,0.5,12,12,0.5,0.5,0.5,0.5,0.1,0.0,0.4,0.5,0.0,0.5,100,0.6481874247186151,0.3518125752813849,0.3872695608283793,True,0.0312666728871795,0.0279619386824956,0.0345714070918634,0.0313937330964587,-0.0059133449112007,-0.0092526639575614,-0.00257402586484,0.014056804228126,-0.0173369288683326,-0.0214767372248283,-0.013197120511837,0.16,within_class_effect_larger,reversed
2,H8B0111,S080,sobol_symmetric,3.1,0.7,32,99.2,69.44,29.760000000000005,7,7,0.5,0.5,4,4,0.3,0.0,0.5,0.5,4,4,0.5,0.5,0.7,0.7,0.2,0.0,0.3,0.5,0.0,0.5,100,0.9318387688834991,0.0681612311165008,0.0336105556021315,True,0.0066812780346346,0.0061441048818835,0.0072184511873856,0.006702783790381,4.442123176803453e-05,-0.0004471615461595,0.0005360040096956,0.0019723057664276,-0.0047304780239534,-0.0052764366809905,-0.0041845193669163,0.08,within_class_effect_larger,reversed
2,H8B0123,S092,sobol_symmetric,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,0.5,0.5,4,4,0.1,0.0,0.5,0.3,9,9,0.0,0.0,0.5,0.5,0.4,0.2,0.1,0.5,0.0,0.3,100,0.7708145201100456,0.2291854798899543,0.1927253824913323,True,0.0099784923522014,0.0095139883852086,0.0104429963191943,0.0099784923522014,-0.0004835242916206,-0.0009636688582312,-3.379725010012227e-06,0.0019887372848757,-0.0079897550673257,-0.0085790473697916,-0.0074004627648598,0.02,within_class_effect_larger,reversed
2,H8B0124,S093,sobol_symmetric,4.0,0.3,32,128.0,38.4,89.6,14,14,0.5,0.5,6,6,0.1,0.0,0.5,0.2,4,4,0.7,0.7,0.7,0.7,0.4,0.3,0.1,0.5,0.0,0.2,100,0.8250621238744578,0.1749378761255423,0.1608156621028184,True,0.0053297694088947,0.0047315285829777,0.0059280102348117,0.0054477867061855,-0.000363239105486,-0.0009559263069947,0.0002294480960226,0.0023024775558243,-0.0031453091503612,-0.0038433471898461,-0.0024472711108763,0.17,within_class_effect_larger,reversed
