stage,background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,target_loss_share,balk_probability,noshow_probability,n_paired_seeds,mean_balk_loss_share,mean_noshow_loss_share,balk_target_error,noshow_target_error,loss_match_gap,loss_match_valid,delta_utilization_balk_minus_noshow,delta_utilization_balk_minus_noshow_ci_low,delta_utilization_balk_minus_noshow_ci_high,utilization_component,delta_class1_served_balk_vs_baseline,delta_class1_served_balk_vs_baseline_ci_low,delta_class1_served_balk_vs_baseline_ci_high,balk_served_component,delta_class1_served_noshow_vs_baseline,delta_class1_served_noshow_vs_baseline_ci_low,delta_class1_served_noshow_vs_baseline_ci_high,noshow_served_component,delta_utilization_balk_vs_baseline,delta_utilization_balk_vs_baseline_ci_low,delta_utilization_balk_vs_baseline_ci_high,delta_utilization_noshow_vs_baseline,delta_utilization_noshow_vs_baseline_ci_low,delta_utilization_noshow_vs_baseline_ci_high,failure_component,classification
2,H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,0.05,0.044487757642102,100,0.0483048475941089,0.0442125674687537,0.001695152405891,0.0057874325312462,0.0040922801253552,True,-0.0030958904109589,-0.0062867555729795,9.497475106175865e-05,inconclusive,-0.0482834343178777,-0.0503664130048875,-0.0462004556308678,supported,-0.0442125674687537,-0.0457975548770207,-0.0426275800604867,supported,-0.0066352739726027,-0.0098287534566238,-0.0034417944885816,-0.0035393835616438,-0.0036710224449293,-0.0034077446783583,utilization,inconclusive
2,H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,0.1049010418428988,0.1,100,0.105781482375125,0.0975324310113593,0.005781482375125,0.0024675689886407,0.0082490513637657,True,-0.0033219178082191,-0.0063512173172795,-0.0002926182991587,inconclusive,-0.1057387015775263,-0.1088373710575915,-0.1026400320974611,supported,-0.0975324310113593,-0.0998790891583204,-0.0951857728643982,supported,-0.0111232876712328,-0.0141753924722592,-0.0080711828702065,-0.0078013698630136,-0.0079945565191852,-0.0076081832068421,utilization,inconclusive
2,H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.2,0.215556197694455,0.2078881089434769,100,0.2176157953915247,0.2052463373754019,0.0176157953915246,0.0052463373754019,0.0123694580161227,False,-0.0046780821917808,-0.007812512027442,-0.0015436523561195,inconclusive,-0.2175730145939259,-0.2213811286641281,-0.2137649005237238,supported,-0.2052463373754019,-0.2086455134545883,-0.2018471612962156,supported,-0.0211061643835616,-0.0242351571370997,-0.0179771716300235,-0.0164280821917808,-0.0167477880000421,-0.0161083763835194,loss_matching_failed,inconclusive
2,H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,0.05,0.05,0.05,100,0.0498841663681494,0.0495370201625918,0.0001158336318505,0.0004629798374081,0.0003471462055575,True,0.0011438356164383,-0.0011954434066094,0.0034831146394861,inconclusive,-0.0498841663681495,-0.0506671550452852,-0.0491011776910137,supported,-0.0495370201625919,-0.0503179316516479,-0.0487561086735359,supported,-0.0265359589041095,-0.0289440391663844,-0.0241278786418347,-0.0276797945205479,-0.0281343891145407,-0.0272251999265551,utilization,inconclusive
2,H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,0.1,0.0986812289971312,0.1,100,0.0979363013459368,0.0996149182958808,0.0020636986540631,0.0003850817041191,0.001678616949944,True,0.0015650684931506,-0.0007156103462202,0.0038457473325215,inconclusive,-0.0979363013459368,-0.0990262470088194,-0.0968463556830543,supported,-0.0996149182958809,-0.1006984613145226,-0.0985313752772392,supported,-0.0540873287671233,-0.0564734911101957,-0.0517011664240508,-0.0556523972602739,-0.0563087310030707,-0.0549960635174772,utilization,inconclusive
2,H2B0114,S082,sobol_symmetric,0.8,0.7,16,14,14,0.3,0.3,0.2,0.2,0.1948515024658748,100,0.1999967533438233,0.1945476044415947,3.24665617662534e-06,0.0054523955584052,0.0054491489022286,True,-0.0022602739726027,-0.004643616698383,0.0001230687531775,inconclusive,-0.1999967533438234,-0.2013323876705619,-0.198661119017085,supported,-0.1945476044415948,-0.1959952899006968,-0.1930999189824927,supported,-0.1109400684931506,-0.1135421242343151,-0.1083380127519861,-0.1086797945205479,-0.1095898066479414,-0.1077697823931544,utilization,inconclusive
2,H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0.05,0.05,0.0471629769599443,100,0.0496381255432205,0.0469085482647296,0.0003618744567794,0.0030914517352703,0.0027295772784909,True,-0.0025051369863013,-0.0042062620671803,-0.0008040119054223,inconclusive,-0.0496451136634162,-0.0508773521139871,-0.0484128752128454,supported,-0.0469085482647296,-0.0480404090861773,-0.0457766874432819,supported,-0.0137962328767123,-0.0155539512269186,-0.0120385145265059,-0.0112910958904109,-0.0115739978524354,-0.0110081939283864,utilization,inconclusive
2,H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0.1,0.1016256299374371,0.0933973447394221,100,0.1008102533219948,0.0934116043148096,0.0008102533219948,0.0065883956851903,0.0073986490071852,True,-0.003333904109589,-0.0048872014705923,-0.0017806067485857,inconclusive,-0.1008102533219949,-0.1026091164666624,-0.0990113901773274,supported,-0.0934116043148096,-0.094987824947117,-0.0918353836825022,supported,-0.0258150684931506,-0.0274128067584718,-0.0242173302278295,-0.0224811643835616,-0.0228799243977094,-0.0220824043694137,utilization,inconclusive
2,H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0.2,0.1995997368711589,0.1932438914001283,100,0.2006566677639241,0.1928697837364637,0.0006566677639241,0.0071302162635362,0.0077868840274603,True,-0.0035650684931506,-0.0053415476950557,-0.0017885892912456,inconclusive,-0.2006566677639242,-0.2025785874040915,-0.1987347481237569,supported,-0.1928697837364638,-0.1951399997834061,-0.1905995676895215,supported,-0.0499897260273972,-0.0517942570525251,-0.0481851950022693,-0.0464246575342465,-0.0470360268262703,-0.0458132882422228,utilization,inconclusive
2,H2B0254,S222,sobol_symmetric,1.25,0.9,16,28,28,0.3,0.3,0.05,0.05,0.0599103936163513,100,0.0503343529954292,0.0503515308427621,0.0003343529954292,0.0003515308427621,1.7177847332947027e-05,True,0.0560770547945205,0.0553509168356756,0.0568031927533654,supported,-0.0004194987039583,-0.0033408335154348,0.0025018361075181,inconclusive,-0.0503515308427622,-0.0509089752077855,-0.0497940864777389,supported,-0.0005719178082191,-0.0010653039330962,-7.853168334206995e-05,-0.0566489726027397,-0.057256223083288,-0.0560417221221913,balk_served,inconclusive
2,H2B0254,S222,sobol_symmetric,1.25,0.9,16,28,28,0.3,0.3,0.1,0.1,0.1230461089625927,100,0.0995705092986578,0.1037840359658404,0.0004294907013421,0.0037840359658404,0.0042135266671826,True,0.1135068493150684,0.1125643876626597,0.1144493109674772,supported,-0.0060225084279917,-0.0083185620110318,-0.0037264548449515,supported,-0.1037840359658405,-0.1045078312917533,-0.1030602406399276,supported,-0.0032722602739726,-0.0038210029057949,-0.0027235176421502,-0.116779109589041,-0.1175170191798168,-0.1160411999982653,,supported
2,H2B0254,S222,sobol_symmetric,1.25,0.9,16,28,28,0.3,0.3,0.2,0.2,0.2396415744654052,100,0.2003026383245156,0.2022889316653467,0.0003026383245156,0.0022889316653467,0.0019862933408311,True,0.1787996575342465,0.1766532623150227,0.1809460527534704,supported,-0.0474376180599618,-0.0495416333865317,-0.045333602733392,supported,-0.2022889316653467,-0.203418332887202,-0.2011595304434915,supported,-0.0488664383561643,-0.0509238336516371,-0.0468090430606916,-0.2276660958904109,-0.2287413920309897,-0.2265907997498321,,supported
2,H2B0294,X044,asymmetric_stress,4.0,0.3,32,28,21,0.0,0.0,0.05,0.054946772086997,0.0629232441260809,100,0.0488590489828676,0.050070487773216,0.0011409510171323,7.048777321606164e-05,0.0012114387903483,True,0.0627011986301369,0.0623113383208504,0.0630910589394235,supported,0.0028838540192189,0.0009533751390227,0.0048143328994151,inconclusive,-0.0500704877732161,-0.0504167302124915,-0.0497242453339406,supported,0.0,0.0,0.0,-0.0627011986301369,-0.0630910589394235,-0.0623113383208504,balk_served,inconclusive
2,H2B0294,X044,asymmetric_stress,4.0,0.3,32,28,21,0.0,0.0,0.1,0.1024633431260805,0.1258464882521618,100,0.0963778538825771,0.1000831188563484,0.0036221461174228,8.311885634840199e-05,0.0037052649737712,True,0.1253561643835616,0.1247338658578428,0.1259784629092804,supported,0.0062052230261566,0.0044572213986476,0.0079532246536656,reversed,-0.1000831188563484,-0.1006070669024333,-0.0995591708102635,supported,0.0,0.0,0.0,-0.1253561643835616,-0.1259784629092804,-0.1247338658578428,balk_served,reversed
2,H2B0294,X044,asymmetric_stress,4.0,0.3,32,28,21,0.0,0.0,0.2,0.2,0.2516929765043237,100,0.1995902269552554,0.200955958314779,0.0004097730447445,0.0009559583147789,0.0013657313595235,True,0.2515821917808219,0.2507821799938428,0.252382203567801,supported,-0.022753006803216,-0.0243813208617401,-0.021124692744692,supported,-0.200955958314779,-0.2017624311175859,-0.200149485511972,supported,0.0,0.0,0.0,-0.2515821917808219,-0.252382203567801,-0.2507821799938428,,supported
2,H2B0346,X112,asymmetric_stress,0.8,0.7,16,28,14,0.3,0.3,0.05,0.05,0.05,100,0.0498841663681494,0.0495370201625918,0.0001158336318505,0.0004629798374081,0.0003471462055575,True,0.0011438356164383,-0.0011954434066094,0.0034831146394861,inconclusive,-0.0498841663681495,-0.0506671550452852,-0.0491011776910137,supported,-0.0495370201625919,-0.0503179316516479,-0.0487561086735359,supported,-0.0265359589041095,-0.0289440391663844,-0.0241278786418347,-0.0276797945205479,-0.0281343891145407,-0.0272251999265551,utilization,inconclusive
2,H2B0346,X112,asymmetric_stress,0.8,0.7,16,28,14,0.3,0.3,0.1,0.0986812289971312,0.1,100,0.0979363013459368,0.0996149182958808,0.0020636986540631,0.0003850817041191,0.001678616949944,True,0.0015650684931506,-0.0007156103462202,0.0038457473325215,inconclusive,-0.0979363013459368,-0.0990262470088194,-0.0968463556830543,supported,-0.0996149182958809,-0.1006984613145226,-0.0985313752772392,supported,-0.0540873287671233,-0.0564734911101957,-0.0517011664240508,-0.0556523972602739,-0.0563087310030707,-0.0549960635174772,utilization,inconclusive
2,H2B0346,X112,asymmetric_stress,0.8,0.7,16,28,14,0.3,0.3,0.2,0.2,0.1948515024658748,100,0.1999967533438233,0.1945476044415947,3.24665617662534e-06,0.0054523955584052,0.0054491489022286,True,-0.0022602739726027,-0.004643616698383,0.0001230687531775,inconclusive,-0.1999967533438234,-0.2013323876705619,-0.198661119017085,supported,-0.1945476044415948,-0.1959952899006968,-0.1930999189824927,supported,-0.1109400684931506,-0.1135421242343151,-0.1083380127519861,-0.1086797945205479,-0.1095898066479414,-0.1077697823931544,utilization,inconclusive
