background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,target_loss_share,balk_probability,noshow_probability,n_paired_seeds,mean_balk_loss_share,mean_noshow_loss_share,balk_target_error,noshow_target_error,loss_match_gap,loss_match_valid,delta_utilization_balk_minus_noshow,delta_utilization_balk_minus_noshow_ci_low,delta_utilization_balk_minus_noshow_ci_high,utilization_component,delta_class1_served_balk_vs_baseline,delta_class1_served_balk_vs_baseline_ci_low,delta_class1_served_balk_vs_baseline_ci_high,balk_served_component,delta_class1_served_noshow_vs_baseline,delta_class1_served_noshow_vs_baseline_ci_low,delta_class1_served_noshow_vs_baseline_ci_high,noshow_served_component,delta_utilization_balk_vs_baseline,delta_utilization_balk_vs_baseline_ci_low,delta_utilization_balk_vs_baseline_ci_high,delta_utilization_noshow_vs_baseline,delta_utilization_noshow_vs_baseline_ci_low,delta_utilization_noshow_vs_baseline_ci_high,failure_component,classification
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,0.05,0.044487757642102,2,0.054414541473168446,0.042616324073277645,0.004414541473168443,0.007383675926722358,0.0117982173998908,False,-0.004023972602739678,-0.3336455509469972,0.32559760574151786,inconclusive,-0.05441454147316849,-0.20237428096534135,0.09354519801900438,inconclusive,-0.04261632407327759,-0.05117673837619614,-0.034055909770359036,supported,-0.0073630136986301276,-0.3358967320483525,0.32117070465109226,-0.0033390410958904493,-0.004426901090425641,-0.0022511811013552576,loss_matching_failed,inconclusive
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,0.1049010418428988,0.1,2,0.1175818997031438,0.10178893953728385,0.01758189970314379,0.0017889395372838457,0.015792960165859946,False,-0.010702054794520521,-0.13580595416610353,0.11440184457706248,inconclusive,-0.11758189970314387,-0.25874889426372005,0.02358509485743232,inconclusive,-0.10178893953728385,-0.2950357390138103,0.09145785993924258,inconclusive,-0.01866438356164385,-0.15791046286218857,0.12058169573890087,-0.007962328767123328,-0.022104508696085046,0.006179851161838392,loss_matching_failed,inconclusive
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.2,0.215556197694455,0.2078881089434769,2,0.2164952365385513,0.19894785126573206,0.016495236538551283,0.0010521487342679547,0.017547385272819238,False,-0.01643835616438355,-0.06647991591301718,0.03360320358425008,inconclusive,-0.21649523653855135,-0.3504895323862816,-0.08250094069082109,supported,-0.19894785126573206,-0.25158529240495575,-0.14631041012650836,supported,-0.03202054794520548,-0.08423782768291019,0.020196731792499235,-0.01558219178082193,-0.01775791176989302,-0.013406471791750842,loss_matching_failed,inconclusive
