background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,baseline_equal_noshow_high,h9_arm,class1_noshow_high_focal,class2_noshow_high_focal,served_rate_gap,absolute_served_rate_gap,seed,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,baseline,0.5,0.5,0.0918809607579393,0.0918809607579393,2000,0.5680650684931506,1.0,0.14158008150028803,9.516647487533563,9.9064740015929,0.16934177137790823,0.07746081061996893,0.25844806007509386,0.2681219236295821,0.12913771965672252,0.4742294520547945,0.09392123287671234,0.8558219178082191,0.1422945205479452,10.367238374759241,3.7474458520637515,0.0918809607579393,0.13898420397285957,-6.619792522695489,32709,14162,32709,2447,23939,2131,8770,316,13913,469,4457,565,5539,1097,0.0,0.8272136703855387,0.24994132832668386,10.053302142946656,3.4880337869544813,0.2681219236295821,0.022313232594266347,0.13626219083432695,0.03989549498658382,0.4253569354000428,0.03311679141364214,46871,35156
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,baseline,0.5,0.5,0.0954612799363752,0.0954612799363752,2001,0.569263698630137,1.0,0.14075067024128687,9.855273759736024,10.234560519347399,0.16954058006336828,0.07407930012699308,0.2579083739073489,0.2673958079454058,0.12233347845015237,0.4764554794520548,0.0898972602739726,0.8603595890410959,0.13647260273972603,10.68794174993907,3.755768393556813,0.0954612799363752,0.14506232949525344,-6.932173356382256,32824,14174,32824,2297,24047,2016,8777,281,13939,422,4484,544,5565,1050,0.0,0.8379427120079018,0.2527128813992085,10.386368361957832,3.5203373015873014,0.2673958079454058,0.019825031748271483,0.13660736046795027,0.038380132637223084,0.42465878625396053,0.029772823479610553,46998,35121
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,common_up,0.6,0.6,0.0720925473304371,0.0720925473304371,2000,0.5054794520547945,1.0,0.12600541912909902,9.516647487533563,9.9064740015929,0.14778807056161913,0.07569552323118203,0.25844806007509386,0.2681219236295821,0.12913771965672252,0.41386986301369866,0.09178082191780822,0.8558219178082191,0.1422945205479452,10.367238374759241,3.7474458520637515,0.0720925473304371,0.13898420397285957,-6.619792522695489,32709,14162,32709,2447,23939,2131,8770,316,13913,469,5162,590,4834,1072,0.0,0.8272136703855387,0.24994132832668386,10.053302142946656,3.4880337869544813,0.2681219236295821,0.022313232594266347,0.15781589165061605,0.04166078237537071,0.4253569354000428,0.03311679141364214,46871,35156
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,common_up,0.6,0.6,0.07715631694395628,0.07715631694395628,2001,0.5032534246575342,1.0,0.12457976935188732,9.855273759736024,10.234560519347399,0.14784913477942968,0.0706928178354734,0.2579083739073489,0.2673958079454058,0.12233347845015237,0.41549657534246576,0.08578767123287671,0.8603595890410959,0.13647260273972603,10.68794174993907,3.755768393556813,0.07715631694395628,0.14506232949525344,-6.932173356382256,32824,14174,32824,2297,24047,2016,8777,281,13939,422,5196,592,4853,1002,0.0,0.8379427120079018,0.2527128813992085,10.386368361957832,3.5203373015873014,0.2673958079454058,0.019825031748271483,0.15829880575188887,0.04176661492874277,0.42465878625396053,0.029772823479610553,46998,35121
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,gap_c1_higher,0.55,0.45,0.07948586601973766,0.07948586601973766,2000,0.5399828767123288,1.0,0.1346248213180858,9.516647487533563,9.9064740015929,0.158641352532942,0.07915548651320435,0.25844806007509386,0.2681219236295821,0.12913771965672252,0.444263698630137,0.09597602739726027,0.8558219178082191,0.1422945205479452,10.367238374759241,3.7474458520637515,0.07948586601973766,0.13898420397285957,-6.619792522695489,32709,14162,32709,2447,23939,2131,8770,316,13913,469,4807,541,5189,1121,0.0,0.8272136703855387,0.24994132832668386,10.053302142946656,3.4880337869544813,0.2681219236295821,0.022313232594266347,0.14696260967929317,0.038200819093348395,0.4253569354000428,0.03311679141364214,46871,35156
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,gap_c1_higher,0.55,0.45,0.08363905742909553,0.08363905742909553,2001,0.5398972602739726,1.0,0.13362270734924891,9.855273759736024,10.234560519347399,0.15884718498659517,0.07520812755749964,0.2579083739073489,0.2673958079454058,0.12233347845015237,0.4464041095890411,0.09126712328767124,0.8603595890410959,0.13647260273972603,10.68794174993907,3.755768393556813,0.08363905742909553,0.14506232949525344,-6.932173356382256,32824,14174,32824,2297,24047,2016,8777,281,13939,422,4835,528,5214,1066,0.0,0.8379427120079018,0.2527128813992085,10.386368361957832,3.5203373015873014,0.2673958079454058,0.019825031748271483,0.14730075554472338,0.037251305206716524,0.42465878625396053,0.029772823479610553,46998,35121
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,gap_c2_higher,0.45,0.55,0.10426147078661309,0.10426147078661309,2000,0.5982020547945206,1.0,0.14909005568475175,9.516647487533563,9.9064740015929,0.1805924974777584,0.07633102669114532,0.25844806007509386,0.2681219236295821,0.12913771965672252,0.505736301369863,0.0925513698630137,0.8558219178082191,0.1422945205479452,10.367238374759241,3.7474458520637515,0.10426147078661309,0.13898420397285957,-6.619792522695489,32709,14162,32709,2447,23939,2131,8770,316,13913,469,4089,581,5907,1081,0.0,0.8272136703855387,0.24994132832668386,10.053302142946656,3.4880337869544813,0.2681219236295821,0.022313232594266347,0.12501146473447675,0.04102527891540743,0.4253569354000428,0.03311679141364214,46871,35156
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,gap_c2_higher,0.45,0.55,0.10825358851674641,0.10825358851674641,2001,0.5977739726027397,1.0,0.14792118813566535,9.855273759736024,10.234560519347399,0.180569095783573,0.07231550726682659,0.2579083739073489,0.2673958079454058,0.12233347845015237,0.5074486301369863,0.0877568493150685,0.8603595890410959,0.13647260273972603,10.68794174993907,3.755768393556813,0.10825358851674641,0.14506232949525344,-6.932173356382256,32824,14174,32824,2297,24047,2016,8777,281,13939,422,4122,569,5927,1025,0.0,0.8379427120079018,0.2527128813992085,10.386368361957832,3.5203373015873014,0.2673958079454058,0.019825031748271483,0.12557884474774555,0.040143925497389585,0.42465878625396053,0.029772823479610553,46998,35121
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,baseline,0.5,0.5,0.09049562737302819,0.09049562737302819,2002,0.5678082191780822,1.0,0.14179695018927646,9.58017761716197,9.99265331593578,0.16897447653981354,0.07847884916678535,0.26218301469336813,0.2728106373223292,0.1252461599054746,0.47328767123287674,0.09434931506849314,0.8490582191780822,0.14871575342465754,10.481124866269296,3.6987002756990943,0.09049562737302819,0.14756447741685458,-6.782424590570201,32715,14042,32715,2539,23790,2221,8925,318,13822,484,4389,635,5528,1102,0.0,0.8191853012391397,0.24601663921979597,10.152669188734762,3.4479963980189106,0.2728106373223292,0.022646346674262924,0.1341586428243925,0.04522147842187722,0.4224973253859086,0.03446802449793477,46757,35254
H9B0280,X027,asymmetric_stress,4.0,0.7,32,21,7,0.5,baseline,0.5,0.5,0.0897280308330091,0.0897280308330091,2003,0.5559075342465754,1.0,0.1388478897944341,9.540552066372024,9.945070623484092,0.16603750421999203,0.07630947338698292,0.26397488942787845,0.2745603535586042,0.12388302193338749,0.4631849315068493,0.0925513698630137,0.8515410958904109,0.14537671232876712,10.41463339778412,3.730706742485784,0.0897280308330091,0.1506773316252167,-6.683926655298336,32583,14166,32583,2462,23637,2157,8946,305,13670,459,4536,617,5410,1081,0.0,0.8262035860511083,0.2503582964341483,10.093624402419934,3.4798331015299024,0.2745603535586042,0.021530424961174643,0.13921370039591197,0.04355499082309756,0.41954393395328854,0.032401524777636595,46749,35045
