analysis_family,scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,balk_high_class_1,balk_high_class_2,cancel_prob_class_1,cancel_prob_class_2,no_show_threshold_1,no_show_threshold_2,no_show_high_class_1,no_show_high_class_2,w1,w2,objective_name,direction,fcfs_mean,exact_best_q_values,exact_best_q_scalar,exact_best_value,near_tie_q_values,near_tie_q_ranges,best_delta_vs_fcfs
balk_probability_grid,balk_probability_grid__bt09_09__bh30_50__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.5,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_service_norm,maximize,0.5866365409934952,24,24.0,0.6141101099765636,"22,23,24,25","22-25 [22,23,24,25]",0.0274735689830684
balk_probability_grid,balk_probability_grid__bt09_09__bh30_50__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.5,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_util_norm,maximize,0.4573858447488584,25,25.0,0.4923071591650359,"23,24,25","23-25 [23,24,25]",0.0349213144161774
balk_probability_grid,balk_probability_grid__bt09_09__bh30_50__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.5,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_service_norm,maximize,0.5866449538897895,24,24.0,0.630601720365588,"23,24,25","23-25 [23,24,25]",0.0439567664757984
balk_probability_grid,balk_probability_grid__bt09_09__bh30_60__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.6,0.1,0.1,6,6,0.3,0.3,0.9,1.0,Obj_util_norm,maximize,0.4573828406633022,24,24.0,0.4659415555155012,"21,22,23,24,25","21-25 [21,22,23,24,25]",0.008558714852199
balk_probability_grid,balk_probability_grid__bt09_09__bh30_60__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.6,0.1,0.1,6,6,0.3,0.3,0.9,1.0,Obj_service_norm,maximize,0.5866272425291698,24,24.0,0.5964688702035349,"19,21,22,23,24,25","19; 21-25 [21,22,23,24,25]",0.0098416276743651
balk_probability_grid,balk_probability_grid__bt09_09__bh30_60__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.6,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_util_norm,maximize,0.4573844178082192,24,24.0,0.4801776541095891,"23,24,25","23-25 [23,24,25]",0.0227932363013699
balk_probability_grid,balk_probability_grid__bt09_09__bh30_60__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.6,0.1,0.1,6,6,0.3,0.3,1.0,1.0,Obj_service_norm,maximize,0.5866365409934952,24,24.0,0.6146887226724496,"23,24,25","23-25 [23,24,25]",0.0280521816789544
balk_probability_grid,balk_probability_grid__bt09_09__bh30_60__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.6,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_util_norm,maximize,0.4573858447488584,24,24.0,0.4930579337899543,"23,24,25","23-25 [23,24,25]",0.0356720890410958
balk_probability_grid,balk_probability_grid__bt09_09__bh30_60__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.6,0.1,0.1,6,6,0.3,0.3,1.1,1.0,Obj_service_norm,maximize,0.5866449538897895,24,24.0,0.6311733510967059,"23,24,25","23-25 [23,24,25]",0.0445283972069163
balk_probability_grid,balk_probability_grid__bt09_09__bh30_70__c10_10__nt06_06__nh30_30,25,25,9,9,0.3,0.7,0.1,0.1,6,6,0.3,0.3,0.9,1.0,Obj_util_norm,maximize,0.4573828406633022,24,24.0,0.4650434841384282,"19,20,21,22,23,24,25","19-25 [19,20,21,22,23,24,25]",0.007660643475126
