seed,average_utilization,overall_percent_serviced,mean_offered_booking_delay,mean_accepted_booking_delay,served_rate,booked_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,decomposition_sum,scenario,b_high
1001,0.8453767123287671,0.2696647632578345,9.28991011174558,8.332742840271626,0.2696647632578345,0.647769186634245,0.352230813365755,0.0,0.3284063276959646,0.04898773257561269,0.0007103631048332012,1.0000000000000002,A_baseline,0.5
1002,0.8416095890410958,0.27159675012435747,9.192284308848725,8.249659110277825,0.27159675012435747,0.6485381086608081,0.351461891339192,0.0,0.3255678991875311,0.05126291936107887,0.00011053998784060133,1.0,A_baseline,0.5
1003,0.8408390410958904,0.26854485776805254,9.303856673960613,8.34096100160731,0.26854485776805254,0.6466630196936543,0.35333698030634575,0.0,0.32710612691466084,0.05051969365426696,0.0004923413566739606,1.0,A_baseline,0.5
1004,0.8394691780821918,0.26670837526861246,9.351440306830236,8.381113201094392,0.26670837526861246,0.636291923945271,0.36370807605472893,0.0,0.31833637080760546,0.05064875010200473,0.0005984277670483911,1.0,A_baseline,0.5
1005,0.8440924657534247,0.2673834541554669,9.351877494501915,8.381633594831564,0.2673834541554669,0.6471993700958432,0.35280062990415684,0.0,0.32966794276560507,0.049523499226195325,0.0006244739485759279,1.0000000000000002,A_baseline,0.5
1006,0.8419520547945205,0.26911615954509416,9.343175045791302,8.38394563601614,0.26911615954509416,0.6436753328412477,0.3563246671587523,0.0,0.3240657207687471,0.050083381174991115,0.00041007135241532026,1.0,A_baseline,0.5
1007,0.8398116438356165,0.27043123414580345,9.205167089445242,8.258445657737587,0.27043123414580345,0.6464100584537333,0.35358994154626666,0.0,0.3237013345097607,0.05186390206242417,0.0004135877357450094,1.0,A_baseline,0.5
1008,0.8441780821917808,0.26736431166296154,9.419129208913951,8.437801148028658,0.26736431166296154,0.6470476603589438,0.3529523396410562,0.0,0.33012525077265087,0.049314102911673804,0.00024399501165753943,0.9999999999999999,A_baseline,0.5
1009,0.8423801369863013,0.26854611577479426,9.252741243061442,8.300375362566115,0.26854611577479426,0.6410543873561019,0.3589456126438982,0.0,0.3218943971999672,0.05012168111345055,0.0004921932678898581,1.0000000000000002,A_baseline,0.5
1010,0.8414383561643836,0.2680820832308659,9.35292510315053,8.378679125079636,0.2680820832308659,0.643358745252343,0.3566412547476569,0.0,0.3242342268491953,0.05082383801950979,0.00021859715277208514,1.0000000000000002,A_baseline,0.5
1011,0.8382705479452055,0.26668482702260965,9.340779079269954,8.361943629639077,0.26668482702260965,0.6407790792699537,0.3592209207300463,0.0,0.3225551620811768,0.05113048215745029,0.00040860800871697086,1.0,A_baseline,0.5
1012,0.8347602739726028,0.2689487900336255,9.277107105451739,8.328202285519358,0.2689487900336255,0.6463811256270326,0.3536188743729673,0.0,0.3243757234992558,0.052725869577200817,0.000330742516950554,0.9999999999999999,A_baseline,0.5
1013,0.8421232876712329,0.2686669032733626,9.265363509787328,8.30831841813688,0.2686669032733626,0.6406399301100221,0.3593600698899779,0.0,0.3209205820524721,0.050615632422397555,0.00043681236178983867,1.0,A_baseline,0.5
1014,0.8421232876712329,0.27180874558303886,9.217921819787986,8.274255646817249,0.27180874558303886,0.6453180212014135,0.3546819787985866,0.0,0.3222725265017668,0.05076744699646643,0.00046930212014134273,1.0,A_baseline,0.5
1015,0.8440924657534247,0.2721016995992815,9.26171065358574,8.318778222714492,0.2721016995992815,0.648721846068813,0.35127815393118694,0.0,0.32596379715351664,0.05032472018792317,0.0003316291280917507,1.0,A_baseline,0.5
1016,0.844777397260274,0.2692108208445937,9.35762836786504,8.394819266909337,0.2692108208445937,0.6449376245461742,0.3550623754538258,0.0,0.3252531870171703,0.04981846968580242,0.0006551469986078127,1.0,A_baseline,0.5
1017,0.8444349315068493,0.2711720356408499,9.277614804660727,8.316872776554295,0.2711720356408499,0.6473474982864976,0.3526525017135024,0.0,0.3254557916381083,0.04997943797121316,0.0007402330363262509,0.9999999999999999,A_baseline,0.5
1018,0.8389554794520548,0.2682417582417582,9.395247252747252,8.434459773024512,0.2682417582417582,0.6511813186813187,0.3488186813186813,0.0,0.33087912087912086,0.0517032967032967,0.00035714285714285714,0.9999999999999999,A_baseline,0.5
1019,0.8481164383561643,0.27206003628566716,9.198581560283689,8.237046243517765,0.27206003628566716,0.6414041453625818,0.3585958546374182,0.0,0.3206608389686074,0.04862829182472923,5.4978283577986696e-05,1.0,A_baseline,0.5
1020,0.8355308219178083,0.26819607195906914,9.296253507179403,8.343962296195652,0.26819607195906914,0.6478516806953842,0.3521483193046157,0.0,0.326869120316884,0.05256643010397755,0.0002200583154535952,0.9999999999999999,A_baseline,0.5
1021,0.8440924657534247,0.26923392276367214,9.289349257973708,8.324599338590689,0.26923392276367214,0.6446199677498702,0.3553800322501298,0.0,0.3252890212905518,0.04982371751072727,0.0002733061849189647,0.9999999999999999,A_baseline,0.5
