background_id,scenario_id,scenario_type,parent_scenario_id,design_note,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,asymmetric_dimensions,source_scenario_id,source_scenario_ids,source_scenario_count
H1B0291,X036,asymmetric_stress,A015,sparse_asymmetry_1_dimension,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,,0.1,9,9,0.0,0.0,0.5,0.7,6,6,0.0,0.0,0.3,0.3,class2:balk_high,X036,X036,1
H1B0305,X050,asymmetric_stress,S124,sparse_asymmetry_3_dimension,3.1,0.9,16,49.6,44.64,4.959999999999999,21,28,,0.5,9,9,0.5,0.5,0.5,0.5,4,12,0.5,0.5,0.7,0.5,class2:noshow_threshold;class1:horizon;class1:noshow_high,X050,X050,1
H1B0313,X058,asymmetric_stress,S016,sparse_asymmetry_1_dimension,3.1,0.9,64,198.4,178.56,19.84,28,28,,0.1,12,12,0.0,0.0,0.1,0.1,9,6,0.0,0.0,0.7,0.7,class2:noshow_threshold,X058,X058,1
H1B0322,X067,asymmetric_stress,S096,sparse_asymmetry_1_dimension,3.1,0.9,16,49.6,44.64,4.959999999999999,21,21,,0.3,9,4,0.0,0.0,0.3,0.3,6,6,0.3,0.3,0.7,0.7,class1:balk_threshold,X067,X067,1
H1B0343,X088,asymmetric_stress,S116,sparse_asymmetry_3_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,21,14,,0.5,9,12,0.3,0.3,0.3,0.3,12,12,0.0,0.0,0.5,0.5,class2:horizon;class2:cancel;class1:balk_threshold,X088,X088,1
H1B0345,X090,asymmetric_stress,S166,sparse_asymmetry_1_dimension,1.25,0.9,32,40.0,36.0,3.999999999999999,14,14,,0.5,6,6,0.0,0.0,0.5,0.5,4,4,0.0,0.3,0.7,0.7,class1:noshow_low,X090,X090,1
H1B0358,X103,asymmetric_stress,S092,sparse_asymmetry_2_dimension,3.1,0.7,64,198.4,138.88,59.52000000000001,14,14,,0.5,4,4,0.1,0.1,0.1,0.1,9,9,0.0,0.0,0.5,0.7,class1:cancel;class2:noshow_high,X103,X103,1
H1B0368,X113,asymmetric_stress,S062,sparse_asymmetry_3_dimension,2.0,0.7,16,32.0,22.4,9.6,21,21,,0.0,6,6,0.0,0.0,0.0,0.0,4,9,0.0,0.0,0.5,0.3,class2:cancel;class2:noshow_threshold;class1:noshow_high,X113,X113,1
H1B0370,X115,asymmetric_stress,S046,sparse_asymmetry_2_dimension,2.0,0.9,32,64.0,57.6,6.399999999999999,14,7,,0.3,4,4,0.3,0.5,0.5,0.5,4,4,0.0,0.0,0.5,0.5,class1:horizon;class1:balk_low,X115,X115,1
H1B0374,X119,asymmetric_stress,S084,sparse_asymmetry_2_dimension,4.0,0.7,32,128.0,89.6,38.400000000000006,7,7,,0.3,4,4,0.1,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,class1:balk_low;class2:cancel,X119,X119,1
H1B0379,X124,asymmetric_stress,S016,sparse_asymmetry_2_dimension,3.1,0.9,64,198.4,178.56,19.84,14,28,,0.1,12,12,0.0,0.1,0.1,0.1,9,9,0.0,0.0,0.7,0.7,class2:balk_low;class1:horizon,X124,X124,1
H1B0380,X125,asymmetric_stress,A004,sparse_asymmetry_2_dimension,1.25,0.7,16,20.0,14.0,6.000000000000001,14,28,,0.1,9,9,0.0,0.0,0.1,0.5,6,6,0.0,0.0,0.3,0.3,class2:horizon;class1:balk_high,X125,X125,1
