class1_cancel_prob,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,1,1,18139,8551,6645,15196,2943,0,2170,6332,11.104198339375511,11.826072650697553,0.34908208831798887,0.5421232876712329,0.4372861279284022,94952.0,179709.0
0.0,1,2,18217,8507,6606,15113,3104,5362,692,2429,11.104972375690608,11.826506980745053,0.13333699291870232,0.20796232876712328,0.43710712631509296,94470.0,178734.0
0.0,2,1,18232,8564,6758,15322,2910,0,2244,6274,11.13288183092013,11.841861375799503,0.3441202281702501,0.5371575342465753,0.4410651350998564,95342.0,181441.0
0.0,2,2,18414,8439,6954,15393,3021,5310,654,2453,11.172887782912667,11.873643864094069,0.13321385902031063,0.21001712328767122,0.45176378873513934,94288.0,182771.0
0.0,3,1,18337,8511,6719,15230,3107,0,2111,6350,11.081189049465397,11.812212738017072,0.34629437748813874,0.5436643835616438,0.4411687458962574,94312.0,179900.0
0.0,3,2,18240,8535,6521,15056,3184,5354,692,2473,11.188283538371412,11.857531880977684,0.1355811403508772,0.21172945205479451,0.4331163655685441,95492.0,178527.0
0.0,4,1,18087,8515,6740,15255,2832,0,2223,6239,11.11591309453905,11.835136020976728,0.3449438823464367,0.5341609589041096,0.4418223533267781,94652.0,180545.0
0.0,4,2,18085,8522,6672,15194,2891,5349,689,2473,11.139051865759212,11.837567460839805,0.13674315731269007,0.21172945205479451,0.43912070554166116,94927.0,179860.0
0.0,5,1,18028,8542,6564,15106,2922,0,2263,6233,11.101030203699368,11.81047265987025,0.3457399600621256,0.5336472602739726,0.43452932609559114,94825.0,178409.0
0.0,5,2,18127,8486,6634,15120,3007,5343,642,2481,11.113952392175348,11.821957671957671,0.1368676559827881,0.21241438356164383,0.43875661375661373,94313.0,178748.0
0.0,6,1,18316,8511,6648,15159,3157,0,2263,6200,11.153800963459053,11.843195461442047,0.3385018563005023,0.5308219178082192,0.4385513556303186,94930.0,179531.0
0.0,6,2,18342,8434,6706,15140,3202,5271,679,2470,11.126037467393882,11.837054161162483,0.13466361356449677,0.21147260273972604,0.4429326287978864,93837.0,179213.0
0.0,7,1,18426,8558,6723,15281,3145,0,2200,6309,11.184739425099322,11.857535501603298,0.34239661348095085,0.5401541095890411,0.4399581179242196,95719.0,181195.0
0.0,7,2,18534,8491,6810,15301,3233,5375,669,2433,11.154516546932046,11.848245212731195,0.13127225639365492,0.20830479452054795,0.44506894974184696,94713.0,181290.0
0.0,8,1,18395,8590,6737,15327,3068,0,2248,6287,11.136903376018626,11.84732824427481,0.34177765697200324,0.5382705479452055,0.4395511189404319,95666.0,181584.0
0.0,8,2,18084,8361,6672,15033,3051,5264,674,2405,11.205597416576964,11.889709306193042,0.13299048882990488,0.20590753424657535,0.44382358810616646,93690.0,178738.0
0.0,9,1,18323,8608,6555,15163,3160,0,2273,6286,11.144981412639405,11.829057574358636,0.34306609179719477,0.5381849315068493,0.4323023148453472,95936.0,179364.0
0.0,9,2,18139,8404,6728,15132,3007,5339,657,2391,11.148738695859114,11.862410785091198,0.13181542532664425,0.20470890410958903,0.4446206714247951,93694.0,179502.0
0.0,10,1,18220,8581,6597,15178,3042,0,2213,6323,11.120265703297983,11.82369218605877,0.34703622392974753,0.5413527397260274,0.43464224535511925,95423.0,179460.0
0.0,10,2,18282,8409,6772,15181,3101,5305,621,2463,11.184920918063979,11.876951452473486,0.1347226780439777,0.21087328767123287,0.4460839206903366,94054.0,180304.0
0.0,11,1,18406,8592,6814,15406,3000,0,2197,6344,11.127327746741155,11.84142541866805,0.3446702162338368,0.5431506849315069,0.4422952096585746,95606.0,182429.0
0.0,11,2,17913,8381,6514,14895,3018,5301,687,2379,11.167641092948335,11.853306478684122,0.13280857477809413,0.20368150684931507,0.4373279624034911,93596.0,176555.0
0.0,12,1,18187,8523,6654,15177,3010,0,2172,6300,11.148421917165317,11.843710878302694,0.34640127563644363,0.5393835616438356,0.4384265665151216,95018.0,179752.0
0.0,12,2,18397,8581,6788,15369,3028,5431,653,2475,11.089383521734064,11.819897195653589,0.1345328042615644,0.21190068493150685,0.4416682933177175,95158.0,181660.0
0.0,13,1,18221,8530,6686,15216,3005,0,2249,6232,11.06084407971864,11.79948738170347,0.3420229405630866,0.5335616438356164,0.43940588853838064,94349.0,179541.0
0.0,13,2,18134,8494,6684,15178,2956,5334,624,2510,11.155168354132329,11.858874687047042,0.13841402889599647,0.2148972602739726,0.44037422585320857,94752.0,179994.0
0.0,14,1,18083,8504,6712,15216,2867,0,2167,6287,11.150517403574788,11.845688748685594,0.34767461151357626,0.5382705479452055,0.4411146161934805,94824.0,180244.0
0.0,14,2,18221,8521,6771,15292,2929,5320,695,2483,11.129327543715526,11.83854302903479,0.13627133527248778,0.21258561643835616,0.44278053884383994,94833.0,181035.0
0.0,15,1,18255,8619,6571,15190,3065,0,2246,6314,11.116602854159416,11.814614878209348,0.345877841687209,0.5405821917808219,0.432587228439763,95814.0,179464.0
0.0,15,2,18299,8496,6795,15291,3008,5409,677,2391,11.161134651600753,11.865280230200772,0.13066287775288268,0.20470890410958903,0.44437904649793997,94825.0,181432.0
0.0,16,1,18444,8508,6812,15320,3124,0,2227,6233,11.102256699576868,11.83093994778068,0.337941878117545,0.5336472602739726,0.4446475195822454,94458.0,181250.0
0.0,16,2,18320,8532,6606,15138,3182,5369,668,2478,11.164791373652132,11.845422116527942,0.13526200873362446,0.21215753424657535,0.43638525564803804,95258.0,179316.0
0.0,17,1,18442,8525,6730,15255,3187,0,2215,6266,11.158592375366569,11.85886594559161,0.33976792104977765,0.5364726027397261,0.4411668305473615,95127.0,180907.0
0.0,17,2,18559,8520,6836,15356,3203,5364,681,2458,11.164906103286384,11.864222453764,0.13244248073710868,0.21044520547945206,0.44516801250325605,95125.0,182187.0
0.0,18,1,18328,8523,6685,15208,3120,0,2142,6331,11.093746333450662,11.818911099421356,0.34542776080314275,0.5420376712328767,0.4395712782745923,94552.0,179742.0
0.0,18,2,18391,8637,6628,15265,3126,5486,689,2447,11.10547643857821,11.81277432034065,0.13305421129900494,0.20950342465753424,0.43419587291188994,95918.0,180322.0
