h1,h2,tau1,tau2,balk_high,mean,std,n,se,ci95,metric
2,14,5,12,0.7,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
2,14,9,5,0.3,0.999859589041096,0.00014754362866928333,50,2.086582007058403e-05,4.089700733834469e-05,average_utilization
2,14,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,14,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,14,9,9,0.3,0.8709931506849315,0.010029384038903674,50,0.0014183690930065825,0.0027800034222929017,average_utilization
2,14,9,9,0.5,0.8710376712328767,0.0100733195818966,50,0.0014245825170836645,0.0027921817334839822,average_utilization
2,14,9,9,0.7,0.8711849315068493,0.009933090717503933,50,0.001404751160897636,0.0027533122753593663,average_utilization
2,14,12,12,0.3,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
2,14,12,12,0.5,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
2,14,12,12,0.7,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
5,2,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,2,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,2,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,2,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,2,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,2,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,2,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,2,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,2,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,2,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,2,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,2,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,2,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,2,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,2,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,5,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,5,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,5,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,5,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,5,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,5,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,5,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,5,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,5,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,5,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,5,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,5,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,5,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,5,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,5,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,7,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,7,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,7,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,7,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,7,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,7,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,7,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,7,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,7,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,7,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,7,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,7,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,7,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
5,7,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,7,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,10,5,9,0.3,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,5,9,0.5,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,5,9,0.7,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,5,12,0.3,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,5,12,0.5,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,5,12,0.7,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,9,5,0.3,0.9976352739726028,0.0013426062857556972,50,0.00018987320182430742,0.00037215147557564254,average_utilization
5,10,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,10,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,10,9,9,0.3,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,9,9,0.5,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,9,9,0.7,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,12,12,0.3,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,12,12,0.5,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,10,12,12,0.7,0.8411078767123287,0.0030174454948113014,50,0.0004267312342483737,0.0008363932191268125,average_utilization
5,14,5,9,0.3,0.8405667808219178,0.003419485628530346,50,0.00048358829522075026,0.0009478330586326705,average_utilization
5,14,5,9,0.5,0.8405205479452055,0.0036417361805451648,50,0.0005150192697111766,0.001009437768633906,average_utilization
5,14,5,9,0.7,0.8406815068493151,0.0034547687284112887,50,0.0004885780790581697,0.0009576130349540125,average_utilization
5,14,5,12,0.3,0.842138698630137,0.003282615265506789,50,0.0004642319028532659,0.0009098945295924011,average_utilization
5,14,5,12,0.5,0.842138698630137,0.003282615265506789,50,0.0004642319028532659,0.0009098945295924011,average_utilization
5,14,5,12,0.7,0.842138698630137,0.003282615265506789,50,0.0004642319028532659,0.0009098945295924011,average_utilization
