background_id,selection_objective,comparison,first_policy,second_policy,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,design_note,patient_characteristic,class2_reference,profile_id,noshow_level,noshow_level_code,balk_level,balk_level_code,clinic_context_id,open_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,10,0.002958904109588989,0.0013607305936070614,0.004538812785388031,-0.00030136986301372294,-0.0017444063926940658,0.0012420091324200635,-0.012529119309963366,-0.02111284638258816,-0.0038261693820898744,0.006366087440992129,0.001976985089357284,0.010964760565329352,-0.00390867579908675,-0.006474885844748859,-0.001296575342465756,0.007214611872146115,0.004210045662100458,0.010529908675799083,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,10,-0.003917808219177754,-0.005863013698629401,-0.0019175799086754372,0.002767123287671236,0.001328538812785383,0.004287785388127852,0.06513072477426134,0.05820048490175466,0.07213495523227804,-0.010705161128529695,-0.017364003394292313,-0.003825386800635406,0.00975342465753424,0.0072965753424657455,0.01225593607305935,-0.013972602739726036,-0.01712328767123288,-0.010830821917808231,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,horizon_only_vs_baseline,horizon_only,baseline,10,-0.0003397260273973024,-0.0018247945205482879,0.0010742465753426362,-0.00014520547945204854,-0.001276780821917801,0.0008658219178082184,-0.0024903919682630394,-0.008065397020054738,0.0033349326548348657,0.0023124570369212226,-0.003332464729313359,0.008406467139546483,-0.000263013698630149,-0.0016608219178082281,0.0010630136986301193,0.00023561643835616762,-0.0022304109589040963,0.0022136986301369735,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,reservation_only_vs_baseline,reservation_only,baseline,10,0.00037808219178091517,-0.0006465753424654203,0.0015726027397258118,0.0035095890410959175,0.002901301369863052,0.004298698630137022,0.05976383229475031,0.05306123330590266,0.06722751597554348,-0.002417723707503039,-0.006392160438072143,0.001738260759426772,0.0065698630136986225,0.005616438356164384,0.007852739726027387,-0.006120547945205468,-0.00816438356164383,-0.0042739726027397175,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,both_flexible_vs_baseline,both_flexible,baseline,10,0.0002465753424659156,-0.001085068493150534,0.0014246575342467679,0.0015698630136986359,0.0005284931506849264,0.0024770547945205507,0.025496700624035383,0.01596865770320258,0.03669565903461513,0.0019410963195944596,-5.713347345730535e-05,0.0038232842907691793,0.0026794520547945093,0.0004984931506849115,0.00516246575342465,-0.002219178082191764,-0.0056826027397260314,0.000784109589041116,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,10,0.000586301369863218,-0.00038383561643818366,0.0016493150684931826,0.0017150684931506843,0.0005998630136986197,0.0027782191780821868,0.027987092592298424,0.018234168913065403,0.038466171129312846,-0.00037136071732676303,-0.00585138688047267,0.004674241767799974,0.0029424657534246586,0.001013698630136979,0.005035890410958906,-0.0024547945205479317,-0.005030136986301348,-0.00012013698630132244,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,10,-0.00013150684931499955,-0.001233013698630214,0.0011013698630140043,-0.0019397260273972816,-0.0028823972602740173,-0.0010436301369863173,-0.03426713167071492,-0.040013217291389416,-0.02792890531313633,0.004358820027097499,0.0010119006495147936,0.007800107359128224,-0.0038904109589041128,-0.005769863013698644,-0.0018902739726027256,0.003901369863013704,0.0011778082191780874,0.006548082191780835,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,10,0.0007178082191782176,-0.00016438356164422629,0.0015616438356164822,0.003654794520547966,0.0028930821917808477,0.004419246575342494,0.062254224263013344,0.055182229303330076,0.06937856850707139,-0.0047301807444242614,-0.009199212962269136,-0.00037226024723278006,0.006832876712328771,0.005555890410958892,0.00815890410958904,-0.006356164383561636,-0.008263013698630129,-0.004410958904109574,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,priority_weighted_utilization,horizon_only_vs_baseline,horizon_only,baseline,10,-0.0003397260273973024,-0.001912328767123544,0.0011616438356161125,-0.00014520547945204854,-0.0013534246575342198,0.0009369863013698579,-0.0024903919682630394,-0.00810355397199167,0.0030310658664736956,0.0023124570369212226,-0.0032174635758912343,0.008704156472280067,-0.000263013698630149,-0.0016438356164383675,0.0011452054794520161,0.00023561643835616762,-0.002273972602739705,0.0022520547945205417,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,priority_weighted_utilization,reservation_only_vs_baseline,reservation_only,baseline,10,-0.0018027397260275135,-0.002937260273973141,-0.000668493150685566,0.003156164383561655,0.001838287671232863,0.004602808219178123,0.06736315071100037,0.05835672061846475,0.07635576789350965,-0.00438713853076732,-0.009556293409697169,0.0009462738113410957,0.007605479452054792,0.005528493150684931,0.00980849315068493,-0.008898630136986285,-0.010932602739726011,-0.006761369863013667,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
