selection_objective,policy,noshow_level,balk_level,rho,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,class_1_slot_utilization,class_2_slot_utilization,n_rows
priority_weighted_utilization,reservation_only,high,high,3.0,0.9166255707762551,0.7987432876712328,0.5551780038938208,0.11948347931658157,0.6809216438356165,0.23564328767123288,10
priority_weighted_utilization,both_flexible,high,high,3.0,0.9496272146118707,0.833141095890411,0.5715827807580522,0.11730560623585765,0.7166299543378996,0.23302228310502282,10
average_utilization,baseline,high,low,1.2,0.9489302283105008,0.7116561643835617,0.7902554977926461,0.7890977423861216,0.47438356164383555,0.474545205479452,10
average_utilization,horizon_only,high,low,1.2,0.9489033789954323,0.7115640182648402,0.7899122663427257,0.7901676292600889,0.47432785388127846,0.4744723287671232,10
average_utilization,reservation_only,high,low,1.2,0.9487576255707749,0.7162437442922374,0.8137063978568913,0.7498567815862012,0.48375872146118715,0.46497004566210043,10
average_utilization,both_flexible,high,low,1.2,0.9487378995433777,0.7166541552511415,0.8100196374020305,0.750129097987504,0.4847148858447488,0.4638785388127854,10
priority_weighted_utilization,baseline,high,low,1.2,0.9489302283105008,0.7116561643835617,0.7902554977926461,0.7890977423861216,0.47438356164383555,0.474545205479452,10
priority_weighted_utilization,horizon_only,high,low,1.2,0.9489483105022817,0.7116044748858448,0.7894785291425073,0.7890950816896702,0.47429716894977164,0.47461461187214604,10
priority_weighted_utilization,reservation_only,high,low,1.2,0.9456432876712315,0.7254415525114155,0.849277150030157,0.6824265449788265,0.5052096803652968,0.44046374429223745,10
priority_weighted_utilization,both_flexible,high,low,1.2,0.9459353424657522,0.7254992694063926,0.8475081161966692,0.6815566949273617,0.5049881278538813,0.4410222831050228,10
average_utilization,baseline,high,low,1.4,0.9499599999999987,0.7125923287671233,0.6783234886398681,0.6781945431221205,0.4750805479452055,0.47502356164383563,10
average_utilization,horizon_only,high,low,1.4,0.9497378995433776,0.7120515068493151,0.6774472605060897,0.6773821751559361,0.47430283105022825,0.4754973515981735,10
average_utilization,reservation_only,high,low,1.4,0.9497168949771677,0.7392841095890411,0.7736907487277648,0.5220646606714471,0.5288604566210046,0.420847305936073,10
average_utilization,both_flexible,high,low,1.4,0.9496688584474873,0.740912602739726,0.7795114602839558,0.5424873185127763,0.5321972602739725,0.41743068493150687,10
