background_id,selection_objective,policy,selected_source_stage,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,average_utilization_sd,priority_weighted_utilization,priority_weighted_utilization_sd,class_1_percent_serviced,class_1_percent_serviced_sd,class_2_percent_serviced,class_2_percent_serviced_sd,class_1_slot_utilization,class_1_slot_utilization_sd,class_2_slot_utilization,class_2_slot_utilization_sd,class_1_balking_rate,class_1_balking_rate_sd,class_2_balking_rate,class_2_balking_rate_sd,class_1_no_show_rate,class_1_no_show_rate_sd,class_2_no_show_rate,class_2_no_show_rate_sd,class_1_no_offer_rate,class_1_no_offer_rate_sd,class_2_no_offer_rate,class_2_no_offer_rate_sd,class_1_mean_offered_booking_delay,class_1_mean_offered_booking_delay_sd,class_2_mean_offered_booking_delay,class_2_mean_offered_booking_delay_sd,design_note,patient_characteristic,class2_reference,profile_id,noshow_level,noshow_level_code,balk_level,balk_level_code,clinic_context_id,open_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PBF_NS_LOW_BK_MEDIUM_C044,average_utilization,horizon_only,horizon_only,7,0,-1,10,0.9501095890410944,0.001375149616270721,0.6141561643835616,0.0017469940107634142,0.37045229862583107,0.00317314182615533,0.3846613080919638,0.002312869866858597,0.2778794520547945,0.0030807593491991277,0.6725534246575341,0.00332835808098721,0.1138139605054412,0.002269371115101503,0.05001370806674775,0.001945000779125631,0.019177851961814738,0.0015482231793523607,0.02028785298900519,0.000485607608732456,0.061392512553394306,0.006631830162977183,0.06030425057942794,0.004519807202706341,4.0846193357405935,0.019370053465825838,4.080577085546277,0.012513950475942318,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C044,average_utilization,reservation_only,reservation_only,100,5,7,10,0.9501753424657522,0.0023240241789429517,0.6144986301369864,0.0026400687670995716,0.37146759913683636,0.00478111328710192,0.38396744058588916,0.0018113895168791858,0.2788328767123288,0.003943687345316421,0.6713315068493151,0.004200817946109912,0.12243717662766034,0.0019770403189693438,0.050118484276467125,0.0012671725271556102,0.019384533745577227,0.0007704325884266385,0.020227910119226478,0.0011309553467917532,0.0,0.0,0.0,0.0,4.455392486782641,0.05349547733524722,4.49541830600951,0.04416023814379468,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C044,average_utilization,both_flexible,both_flexible,3,26,3,10,0.9497917808219167,0.0007995119547163779,0.701558904109589,0.0013050384883595452,0.6034787159319228,0.005397988412336232,0.2836975542445636,0.001616163183501143,0.4533972602739726,0.002359524700176304,0.4963232876712329,0.002467910438235639,0.05046186698820421,0.0020189231095605114,0.050262611237609944,0.0021137219995770373,0.03193525034205317,0.001835549786573157,0.015012005333446562,0.0006673235991239055,0.05959746622170294,0.00810396886451378,0.5694076312631859,0.0033537802673982726,1.5727963520413257,0.013758259543665425,1.475133408434084,0.006542344853552473,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C044,priority_weighted_utilization,baseline,baseline,100,0,-1,10,0.9493041095890398,0.001915249434557233,0.6126739726027397,0.001434761035779425,0.36730041927459367,0.003699390369836359,0.3838679150436097,0.002392229300899251,0.2761260273972603,0.0024377985783559115,0.6730958904109589,0.0033572545056526947,0.12518906532914986,0.0024563503406732153,0.04996441642967886,0.001054163350374967,0.0195632675377567,0.001274351486821094,0.020555121938589813,0.0010620717771584155,0.0,0.0,0.0,0.0,4.519144909549715,0.053237306044868454,4.510961754064619,0.03752087436652564,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C044,priority_weighted_utilization,horizon_only,horizon_only,4,0,-1,10,0.9500438356164371,0.0016769968222944823,0.6169315068493151,0.0019785973517227567,0.3775259931100595,0.0031020274070232244,0.37896440176179313,0.002205269590477228,0.28383561643835614,0.002747750804616095,0.6661917808219178,0.002255393467095266,0.05034308009098045,0.0015875109916574585,0.04966209330033925,0.0012274176830229496,0.020085421370394718,0.0012064982786619866,0.019884997563538377,0.0006658905336928483,0.32897461594423777,0.005259589677713509,0.3298474170021521,0.004027137511269454,2.249706244615114,0.008359907928984509,2.25162039136763,0.007652088726616013,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C044,priority_weighted_utilization,reservation_only,reservation_only,100,50,18,10,0.9483506849315058,0.0014937468263820975,0.7603260273972603,0.0023052967150167946,0.7628488839170064,0.004039539703091259,0.215535810715831,0.002623866002171891,0.5721369863013699,0.004463820070614239,0.37637808219178087,0.004750575734456087,0.05025605957436705,0.0015216693339677578,0.12718423218657277,0.0010667716852681504,0.04018299348900857,0.0015753016558143183,0.01230593805712832,0.0005087166553114328,0.0,0.0,0.0,0.0,0.7706935310367662,0.004901832999616738,14.355933473764619,0.07268607411676425,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C044,priority_weighted_utilization,both_flexible,both_flexible,3,49,3,10,0.9500383561643826,0.0012430293956117683,0.7625534246575343,0.0021986498147504954,0.7649430567994469,0.0029822515650260377,0.21474971051202596,0.0031577807219620706,0.5750520547945206,0.004670234274188959,0.3750027397260273,0.005152744172056136,0.04980841404471295,0.001750187355796959,0.05028725364988786,0.0029358108329642463,0.040205603012621306,0.0012969843890801962,0.01128850436906919,0.0004630771644777618,0.0,0.0,0.7569581274272524,0.003481649839123199,0.7697374193498229,0.004291745398225446,0.10957494390066709,0.0024218460272373917,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C044,100,2.5,0.3,50,37.5,87.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,average_utilization,baseline,baseline,100,0,-1,10,0.9496986301369847,0.0018877595702710684,0.707593607305936,0.004261526953888026,0.37243202128510666,0.0038813668678042367,0.38672253326900285,0.004741798011726573,0.4652420091324201,0.007103903688862623,0.4847031963470319,0.0060320462368697175,0.12075667256047229,0.002647132650091396,0.05136192694086705,0.0016469677755678324,0.01997729504604656,0.0017683354499136155,0.02031302398343773,0.0010239910696717511,0.0,0.0,0.0,0.0,4.443836625511786,0.044660253584018705,4.450316061337669,0.05197527574928291,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,average_utilization,horizon_only,horizon_only,6,0,-1,10,0.9499269406392677,0.002057014416179502,0.7112191780821918,0.00252269502446708,0.3785849339222076,0.00331563874314886,0.3816167285766953,0.002522310347973207,0.47264840182648393,0.004790677593021917,0.4771415525114155,0.005504938192398742,0.050646421432639574,0.0010754109828318053,0.050874865481683865,0.002325059811863724,0.020095909460531802,0.001058247490749536,0.02011673151222384,0.0010289762256940982,0.16165543660538062,0.008716101572439535,0.15816121412826784,0.006098454195816435,3.492772138743611,0.016135709849678975,3.493543468910773,0.019909376826744162,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,average_utilization,reservation_only,reservation_only,100,20,17,10,0.9489771689497702,0.002198977698885705,0.7801643835616439,0.0026044926316152557,0.4888321324979459,0.006216927840900044,0.26992587045652416,0.004129429480049801,0.6114703196347031,0.003958833593991105,0.3373881278538813,0.0037850793559833715,0.05035304128223733,0.002859477504423101,0.04987466694202927,0.00204846037188552,0.02592898499046008,0.0011665591019964067,0.01490683306057603,0.0013498656788398045,0.0,0.0,0.0,0.0,3.0300729303257308,0.06496639679101297,7.595844683224769,0.13460409996843367,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,average_utilization,both_flexible,both_flexible,7,10,3,10,0.9501187214611859,0.0017240693394580502,0.7248219178082191,0.002482533056455373,0.4000048978375344,0.005023334654996441,0.3592526080267521,0.004496821903996341,0.4996164383561643,0.004569820997397418,0.45041095890410954,0.004902105262319785,0.11263731134844412,0.0035746107813535107,0.04960746446457959,0.0023923664189489055,0.02159744247037766,0.0014500045427997986,0.018266618911925957,0.0009095168293292238,0.056969248506499516,0.005235860225740294,0.058031453414007096,0.005174886299872414,3.792750440616641,0.01608917339227846,4.3506004241714855,0.015040885571093105,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,priority_weighted_utilization,baseline,baseline,100,0,-1,10,0.9496986301369847,0.0018877595702710684,0.707593607305936,0.004261526953888026,0.37243202128510666,0.0038813668678042367,0.38672253326900285,0.004741798011726573,0.4652420091324201,0.007103903688862623,0.4847031963470319,0.0060320462368697175,0.12075667256047229,0.002647132650091396,0.05136192694086705,0.0016469677755678324,0.01997729504604656,0.0017683354499136155,0.02031302398343773,0.0010239910696717511,0.0,0.0,0.0,0.0,4.443836625511786,0.044660253584018705,4.450316061337669,0.05197527574928291,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,priority_weighted_utilization,horizon_only,horizon_only,4,0,-1,10,0.9503013698630122,0.0009758356361716942,0.7138401826484018,0.0021225592439645387,0.38088312763136334,0.003373962908247714,0.380100987528242,0.002987727016680574,0.47709589041095884,0.0040640808549171886,0.4734885844748858,0.004339165080156527,0.05065843858756621,0.0017505733242802887,0.04984093062906555,0.002574552782411267,0.020297297992305452,0.0008430160813978695,0.01957496743773022,0.0005132479393957552,0.32557363985735116,0.007419506104246837,0.32597570515349494,0.005143590371673722,2.2503143854859124,0.009367981553160008,2.2538266544640253,0.009220351516357436,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,priority_weighted_utilization,reservation_only,reservation_only,100,30,26,10,0.9494429223744276,0.0031178890028666366,0.8991872146118721,0.0022035663183078897,0.6792098897619916,0.005040547619987181,0.08106114366473775,0.002926944628898615,0.8483561643835618,0.002447931534918745,0.10166210045662098,0.0035177405709714083,0.04979530471407347,0.0021708429493353183,0.14093188723623637,0.0020693334482287606,0.036076032846006016,0.0022694372413143626,0.00444958396767356,0.0005152382808111902,0.0,0.0,0.0,0.0,1.3109943314126624,0.026386391211215388,23.852855379300472,0.08085312528452779,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C045,priority_weighted_utilization,both_flexible,both_flexible,3,30,3,10,0.948456621004565,0.0015964765942217925,0.8991095890410958,0.003286772665974996,0.6798337428391398,0.005062439569114943,0.07918099601881884,0.003156710262520277,0.8496621004566209,0.004971892436243724,0.09889497716894971,0.003532370037374448,0.04895139097897341,0.0017852649808741041,0.05086416193485275,0.006095679970496038,0.03707702922878478,0.001537189497239917,0.00413769251442905,0.00040654907673741365,0.00418205070237033,0.001630977116333856,0.9122218374415348,0.003204316231911078,1.2884699100981682,0.01860234725295145,0.0,0.0,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C045,100,2.5,0.5,30,37.5,37.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C046,average_utilization,baseline,baseline,100,0,-1,10,0.9494739726027384,0.0015058139517567873,0.7072657534246576,0.002222419040094606,0.3708455894620829,0.0031594686022934997,0.38720319432522965,0.004154799322835955,0.46529863013698625,0.003818011347589226,0.48393424657534256,0.0037184810321394,0.12196166070440702,0.0019205331858324678,0.05027180085604745,0.0010064750811504262,0.01995191094050916,0.0007104016434157261,0.02040070149610687,0.0011049401141804845,0.0,0.0,0.0,0.0,4.439968474325083,0.035758972038135106,4.431678708689197,0.04525695971286066,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C046,100,2.5,0.5,50,62.5,62.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
PBF_NS_LOW_BK_MEDIUM_C046,average_utilization,horizon_only,horizon_only,9,0,-1,10,0.9494739726027384,0.0015058139517567873,0.7072657534246576,0.002222419040094606,0.3708455894620829,0.0031594686022934997,0.38720319432522965,0.004154799322835955,0.46529863013698625,0.003818011347589226,0.48393424657534256,0.0037184810321394,0.12196166070440702,0.0019205331858324678,0.05027180085604745,0.0010064750811504262,0.01995191094050916,0.0007104016434157261,0.02040070149610687,0.0011049401141804845,0.0,0.0,0.0,0.0,4.439968474325083,0.035758972038135106,4.431678708689197,0.04525695971286066,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_LOW_BK_MEDIUM,low,0,medium,1,C046,100,2.5,0.5,50,62.5,62.5,0.2,0.2,5,0.05,0.2,16,0.05,0.15,3,0.05,0.05,14,0.05,0.15,False
