class1_high_balk,seed,average_utilization,overall_percent_serviced,total_served,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked
0.0,1,0.8407534246575342,0.26771997922532326,9794,9.440104777543201,9.947165117192615,0.16269477543538038,36583,25578,30548,4970
0.0,2,0.8458904109589042,0.2711384683026023,9867,9.42192046556741,9.931375409251515,0.16447858925735032,36391,25775,30849,5074
0.0,3,0.8382705479452055,0.264892578125,9765,9.485091250146548,9.97514490617939,0.16203294364213905,36864,25589,30537,4948
0.0,4,0.8359589041095891,0.26350931257264887,9748,9.460308217848686,9.968689225982109,0.16501361338000778,36993,25761,30852,5091
0.0,5,0.8377568493150684,0.26631946338005125,9767,9.44440980476209,9.948608485954507,0.16375545851528384,36674,25661,30686,5025
0.0,6,0.848458904109589,0.27276735278719244,9899,9.415351200403366,9.91612168537498,0.16111924516024076,36291,25783,30735,4952
0.0,7,0.8425513698630137,0.2698569585152239,9829,9.426052198448154,9.934622950819673,0.16334426229508198,36423,25518,30500,4982
0.0,8,0.8365582191780822,0.26795269324698845,9765,9.469828432334813,9.9670040751939,0.16290916261338242,36443,25471,30428,4957
0.0,9,0.8361301369863013,0.26738202124165117,9768,9.481106743977897,9.976905537459283,0.1629641693811075,36532,25697,30700,5003
0.0,10,0.8413527397260274,0.2679000874508089,9803,9.435230141775103,9.941671540911159,0.1634171703385975,36592,25745,30774,5029
0.0,11,0.8375,0.2680834685068595,9751,9.475225669123734,9.992958207782,0.16910127079785142,36373,25369,30532,5163
0.0,12,0.8363869863013699,0.26772129301584685,9748,9.44254307320496,9.954972223124654,0.1665637893505734,36411,25654,30781,5127
0.0,13,0.844777397260274,0.2722788647010196,9881,9.412015503875969,9.925112557898487,0.16431833641045573,36290,25800,30873,5073
0.0,14,0.8393835616438357,0.27000911073686534,9780,9.462252740821661,9.968409053900016,0.1652499592900179,36221,25631,30705,5074
0.0,15,0.835445205479452,0.2672700762056728,9715,9.428293744897562,9.947363319115937,0.1688315884709836,36349,25723,30948,5225
