h1,h2,tau1,tau2,balk_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
2,2,9,9,0.7,19,1.0,0.32231359346542304,11680,12960.0,1.0,1.0,0.0,36238,11680,11680,0,24558,0,0,0
2,2,9,9,0.7,20,1.0,0.31935254552414283,11680,12960.0,1.0,1.0,0.0,36574,11680,11680,0,24894,0,0,0
2,2,9,9,0.7,21,1.0,0.31947483588621445,11680,12960.0,1.0,1.0,0.0,36560,11680,11680,0,24880,0,0,0
2,2,9,9,0.7,22,1.0,0.3210378758726843,11680,12960.0,1.0,1.0,0.0,36382,11680,11680,0,24702,0,0,0
2,2,9,9,0.7,23,1.0,0.3190646597645259,11680,12960.0,1.0,1.0,0.0,36607,11680,11680,0,24927,0,0,0
2,2,9,9,0.7,24,1.0,0.32011401321018446,11680,12960.0,1.0,1.0,0.0,36487,11680,11680,0,24807,0,0,0
2,2,9,9,0.7,25,1.0,0.3223313831548736,11680,12960.0,1.0,1.0,0.0,36236,11680,11680,0,24556,0,0,0
2,2,9,9,0.7,26,1.0,0.32145314435117656,11680,12960.0,1.0,1.0,0.0,36335,11680,11680,0,24655,0,0,0
2,2,9,9,0.7,27,1.0,0.32074694494027184,11680,12960.0,1.0,1.0,0.0,36415,11680,11680,0,24735,0,0,0
2,2,9,9,0.7,28,1.0,0.31730508014126596,11680,12960.0,1.0,1.0,0.0,36810,11680,11680,0,25130,0,0,0
2,2,9,9,0.7,29,1.0,0.3197984831476056,11680,12960.0,1.0,1.0,0.0,36523,11680,11680,0,24843,0,0,0
2,2,9,9,0.7,30,1.0,0.32046533322358495,11680,12960.0,1.0,1.0,0.0,36447,11680,11680,0,24767,0,0,0
2,2,9,9,0.7,31,1.0,0.31894268315993557,11680,12960.0,1.0,1.0,0.0,36621,11680,11680,0,24941,0,0,0
