background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,gap_magnitude_focal,n_paired_seeds,mean_class2_low_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,pre_minus_post_absolute_served_gap,pre_minus_post_absolute_served_gap_ci_low,pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0277,X025,asymmetric_stress,1.25,0.1,32,40.0,4.0,36.0,14,21,0.0,0.0,4,6,0.0,0.0,0.7,0.7,12,12,0.5,0.3,0.5,0.5,0.5,20,0.6440280783613483,0.35597192163865166,True,-0.29736592652990457,-0.30465914437912844,-0.2900727086806807,pre_minus_post_gap_effect,reversed
H7B0278,X026,asymmetric_stress,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05,20,0.0866976014863872,0.9133023985136127,True,-0.0343006060699184,-0.038390350870693854,-0.030210861269142946,pre_minus_post_gap_effect,reversed
H7B0278,X026,asymmetric_stress,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.1,20,0.0661482265445195,0.9338517734554804,True,-0.06769556518944964,-0.07214844785774002,-0.06324268252115925,pre_minus_post_gap_effect,reversed
H7B0278,X026,asymmetric_stress,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.2,20,0.0832114545739342,0.9167885454260659,True,-0.04748596224804304,-0.05389553116822496,-0.041076393327861116,pre_minus_post_gap_effect,reversed
H7B0279,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0.05,20,0.5881007223291543,0.4118992776708456,True,0.005138221494560011,0.0030648197346002442,0.007211623254519778,,supported
H7B0279,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0.1,20,0.5906015385144779,0.40939846148552206,True,0.00780346312357887,0.006302903839662641,0.0093040224074951,,supported
H7B0279,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0.2,20,0.6018679236108632,0.3981320763891368,True,0.014073189097395078,0.012132657599397483,0.01601372059539267,,supported
H7B0279,X027,asymmetric_stress,4.0,0.7,32,128.0,89.6,38.400000000000006,21,7,0.1,0.1,4,4,0.0,0.0,0.3,0.3,4,4,0.3,0.3,0.7,0.7,0.3,20,0.6094136407319134,0.39058635926808666,True,0.022576202366775572,0.020614650050357633,0.02453775468319351,,supported
H7B0280,X028,asymmetric_stress,3.1,0.9,64,198.4,178.56,19.84,28,14,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.1,0.7,0.05,20,0.9153961647225006,0.08460383527749933,True,0.009635347280073352,0.0070583859360691436,0.012212308624077562,,supported
H7B0280,X028,asymmetric_stress,3.1,0.9,64,198.4,178.56,19.84,28,14,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.1,0.7,0.1,20,0.9166669411027126,0.08333305889728734,True,0.020992554412765447,0.018223015332212274,0.02376209349331862,,supported
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.05,20,0.2599563599319651,0.7400436400680348,True,-0.012736476003777402,-0.015758611354813726,-0.009714340652741077,pre_minus_post_gap_effect,reversed
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.1,20,0.25960681144910025,0.7403931885508998,True,-0.03027249161423854,-0.03288578907967118,-0.027659194148805907,pre_minus_post_gap_effect,reversed
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.2,20,0.2621023696884521,0.7378976303115479,True,-0.05577477403548507,-0.05815914000550218,-0.053390408065467965,pre_minus_post_gap_effect,reversed
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.3,20,0.2674085229872215,0.7325914770127785,True,-0.0668602118788034,-0.0693094648285804,-0.06441095892902639,pre_minus_post_gap_effect,reversed
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.5,20,0.2710905029322007,0.7289094970677993,True,-0.059487841955998245,-0.062440436069800154,-0.05653524784219634,pre_minus_post_gap_effect,reversed
H7B0282,X032,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,14,14,0.5,0.5,12,12,0.0,0.0,0.3,0.3,12,12,0.5,0.5,0.5,0.7,0.05,20,1.0,0.0,False,0.01835542335760095,0.011933218265844545,0.02477762844935736,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0282,X032,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,14,14,0.5,0.5,12,12,0.0,0.0,0.3,0.3,12,12,0.5,0.5,0.5,0.7,0.1,20,1.0,0.0,False,0.04534393573944284,0.03762073933423674,0.05306713214464894,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0282,X032,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,14,14,0.5,0.5,12,12,0.0,0.0,0.3,0.3,12,12,0.5,0.5,0.5,0.7,0.2,20,1.0,0.0,False,0.09407456057414224,0.08891892246845225,0.09923019867983222,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0282,X032,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,14,14,0.5,0.5,12,12,0.0,0.0,0.3,0.3,12,12,0.5,0.5,0.5,0.7,0.3,20,1.0,0.0,False,0.14758265943485135,0.14154814832613621,0.1536171705435665,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0284,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,6,9,0.0,0.5,0.5,0.5,0.05,20,0.33439960719978723,0.6656003928002128,True,0.012938461185088151,0.0014224652199358052,0.0244544571502405,,supported
H7B0284,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,6,9,0.0,0.5,0.5,0.5,0.1,20,0.3361152438397844,0.6638847561602155,True,0.07133323150837252,0.06362900994663297,0.07903745307011208,,supported
H7B0284,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,6,9,0.0,0.5,0.5,0.5,0.2,20,0.31826499516260237,0.6817350048373976,True,0.12104860817997232,0.1074318317176938,0.13466538464225083,,supported
H7B0284,X034,asymmetric_stress,1.25,0.9,16,20.0,18.0,2.0,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,6,9,0.0,0.5,0.5,0.5,0.3,20,0.3225488903127995,0.6774511096872005,True,0.18198660226868368,0.16803104033147065,0.19594216420589672,,supported
H7B0285,X035,asymmetric_stress,0.8,0.1,16,12.8,1.2800000000000002,11.52,28,28,0.5,0.5,4,4,0.0,0.0,0.7,0.7,6,12,0.3,0.3,0.7,0.7,0.05,20,1.0,0.0,False,0.006401571328767339,-0.004250771743895507,0.017053914401430184,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0285,X035,asymmetric_stress,0.8,0.1,16,12.8,1.2800000000000002,11.52,28,28,0.5,0.5,4,4,0.0,0.0,0.7,0.7,6,12,0.3,0.3,0.7,0.7,0.1,20,1.0,0.0,False,0.047365304384243176,0.036461954676478975,0.05826865409200738,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0285,X035,asymmetric_stress,0.8,0.1,16,12.8,1.2800000000000002,11.52,28,28,0.5,0.5,4,4,0.0,0.0,0.7,0.7,6,12,0.3,0.3,0.7,0.7,0.2,20,1.0,0.0,False,0.1193674511896357,0.10761671490320862,0.13111818747606277,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0285,X035,asymmetric_stress,0.8,0.1,16,12.8,1.2800000000000002,11.52,28,28,0.5,0.5,4,4,0.0,0.0,0.7,0.7,6,12,0.3,0.3,0.7,0.7,0.3,20,1.0,0.0,False,0.1790704474293366,0.16645123660417885,0.19168965825449433,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0285,X035,asymmetric_stress,0.8,0.1,16,12.8,1.2800000000000002,11.52,28,28,0.5,0.5,4,4,0.0,0.0,0.7,0.7,6,12,0.3,0.3,0.7,0.7,0.5,20,1.0,0.0,False,0.3271968918116598,0.3112873918501584,0.34310639177316116,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0286,X037,asymmetric_stress,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.5,0.05,20,1.0,0.0,False,0.013332646573016704,0.011065372246521071,0.015599920899512336,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0286,X037,asymmetric_stress,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.5,0.1,20,1.0,0.0,False,0.03535126109054448,0.032462581559601855,0.0382399406214871,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0286,X037,asymmetric_stress,3.1,0.1,64,198.4,19.840000000000003,178.56,14,14,0.3,0.3,12,12,0.5,0.5,0.7,0.7,4,4,0.5,0.5,0.7,0.5,0.2,20,1.0,0.0,False,0.09499325788110834,0.09228221244575847,0.0977043033164582,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0287,X038,asymmetric_stress,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.5,6,12,0.0,0.0,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0.05,20,1.0,0.0,False,0.05075875123293829,0.04980095208462252,0.05171655038125406,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0287,X038,asymmetric_stress,0.8,0.1,64,51.2,5.120000000000001,46.080000000000005,28,28,0.1,0.5,6,12,0.0,0.0,0.1,0.1,12,12,0.0,0.0,0.1,0.1,0.1,20,1.0,0.0,False,0.10061824332733002,0.09951165683676592,0.10172482981789412,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0289,X041,asymmetric_stress,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,4,12,0.3,0.3,0.3,0.5,0.05,20,1.0,0.0,False,0.02867115348547067,0.021075574784394133,0.036266732186547204,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0289,X041,asymmetric_stress,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,4,12,0.3,0.3,0.3,0.5,0.1,20,1.0,0.0,False,0.06216445881867699,0.05468982332633427,0.06963909431101972,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0289,X041,asymmetric_stress,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,4,12,0.3,0.3,0.3,0.5,0.2,20,1.0,0.0,False,0.13266626763346728,0.12535569701697727,0.1399768382499573,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0289,X041,asymmetric_stress,0.8,0.9,64,51.2,46.080000000000005,5.119999999999999,28,28,0.0,0.0,4,4,0.0,0.0,0.3,0.3,4,12,0.3,0.3,0.3,0.5,0.3,20,1.0,0.0,False,0.20177508495825253,0.19626077523408036,0.2072893946824247,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0290,X042,asymmetric_stress,0.8,0.5,16,12.8,6.4,6.4,21,21,0.3,0.3,4,9,0.3,0.3,0.7,0.7,9,6,0.7,0.7,0.7,0.7,0.05,20,1.0,0.0,False,0.007661505241693921,0.002300535724177901,0.01302247475920994,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0290,X042,asymmetric_stress,0.8,0.5,16,12.8,6.4,6.4,21,21,0.3,0.3,4,9,0.3,0.3,0.7,0.7,9,6,0.7,0.7,0.7,0.7,0.1,20,1.0,0.0,False,0.02588547929743189,0.017513050554528415,0.034257908040335364,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0290,X042,asymmetric_stress,0.8,0.5,16,12.8,6.4,6.4,21,21,0.3,0.3,4,9,0.3,0.3,0.7,0.7,9,6,0.7,0.7,0.7,0.7,0.2,20,1.0,0.0,False,0.05201809872867508,0.04669133701349298,0.05734486044385718,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0290,X042,asymmetric_stress,0.8,0.5,16,12.8,6.4,6.4,21,21,0.3,0.3,4,9,0.3,0.3,0.7,0.7,9,6,0.7,0.7,0.7,0.7,0.3,20,1.0,0.0,False,0.0860513709808127,0.08163514650251706,0.09046759545910833,insufficient_pre_or_post_threshold_offer_exposure,inactive
