background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,valid_h7_gaps,n_active_gaps,failure_component,classification,n_supported_gap_comparisons,n_reversed_gap_comparisons,n_inconclusive_gap_comparisons,n_complete_paired_seeds,average_pre_minus_post_absolute_served_gap,average_pre_minus_post_absolute_served_gap_ci_low,average_pre_minus_post_absolute_served_gap_ci_high
H7B0120,S088,sobol_symmetric,2.0,0.5,64,128.0,64.0,64.0,28,28,0.0,0.0,6,6,0.0,0.0,0.7,0.7,9,9,0.0,0.0,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,5.0,0.0,20.0,-0.06838764372901918,-0.06991067589221775,-0.0668646115658206
H7B0133,S101,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,7,7,0.0,0.0,4,4,0.1,0.1,0.7,0.7,4,4,0.3,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,5.0,0.0,20.0,-0.0481378854650384,-0.0491964463274262,-0.0470793246026506
H7B0140,S108,sobol_symmetric,4.0,0.5,16,64.0,32.0,32.0,14,14,0.3,0.3,4,4,0.0,0.0,0.1,0.1,12,12,0.5,0.5,0.5,0.5,0.05;0.10,2,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,0.0,1.0,20.0,0.0021276161795903935,0.0004605762473909377,0.0037946561117898495
H7B0164,S132,sobol_symmetric,4.0,0.7,64,256.0,179.2,76.80000000000001,14,14,0.1,0.1,6,6,0.1,0.1,0.7,0.7,9,9,0.0,0.0,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,1.0,4.0,0.0,20.0,-0.015810007391222118,-0.01677686769324121,-0.014843147089203026
H7B0165,S133,sobol_symmetric,3.1,0.5,32,99.2,49.6,49.6,14,14,0.1,0.1,4,4,0.1,0.1,0.3,0.3,4,4,0.5,0.5,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.009044925540905514,-0.0105782113016011,-0.007511639780209927
H7B0184,S152,sobol_symmetric,2.0,0.7,16,32.0,22.4,9.6,7,7,0.1,0.1,4,4,0.0,0.0,0.5,0.5,4,4,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,3.0,20.0,-0.005766018373538178,-0.008596014378396764,-0.002936022368679592
H7B0209,S177,sobol_symmetric,3.1,0.1,64,198.4,19.840000000000003,178.56,21,21,0.1,0.1,4,4,0.0,0.0,0.7,0.7,9,9,0.3,0.3,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,3.0,1.0,20.0,0.0022475516758431314,0.0004928790547448676,0.0040022242969413955
H7B0237,S205,sobol_symmetric,4.0,0.3,64,256.0,76.8,179.2,28,28,0.1,0.1,4,4,0.5,0.5,0.7,0.7,12,12,0.3,0.3,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_inconclusive,inconclusive,1.0,2.0,0.0,20.0,-0.0005985230976870517,-0.0020837821318844428,0.0008867359365103396
H7B0275,X023,asymmetric_stress,3.1,0.9,32,99.2,89.28,9.919999999999998,21,21,0.1,0.1,4,6,0.3,0.3,0.5,0.5,9,9,0.5,0.5,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.015360523385051256,-0.017354580676745356,-0.013366466093357154
H7B0277,X025,asymmetric_stress,1.25,0.1,32,40.0,4.0,36.0,14,21,0.0,0.0,4,6,0.0,0.0,0.7,0.7,12,12,0.5,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,2.0,20.0,-0.21216168879504335,-0.21766050971339626,-0.20666286787669044
H7B0278,X026,asymmetric_stress,3.1,0.7,32,99.2,69.44,29.760000000000005,28,14,0.0,0.0,6,6,0.5,0.5,0.7,0.7,6,6,0.0,0.0,0.1,0.1,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.04982737783580368,-0.05260266182890021,-0.04705209384270716
H7B0281,X030,asymmetric_stress,4.0,0.9,64,256.0,230.4,25.599999999999994,14,14,0.1,0.1,9,9,0.0,0.0,0.5,0.5,6,6,0.3,0.0,0.3,0.3,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,5.0,0.0,20.0,-0.04502635909766053,-0.04594792693766972,-0.044104791257651335
H7B0310,X064,asymmetric_stress,4.0,0.7,16,64.0,44.8,19.200000000000003,7,7,0.3,0.5,4,4,0.3,0.3,0.5,0.5,4,4,0.7,0.3,0.7,0.7,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.018307856057944605,-0.02000383250304838,-0.01661187961284083
H7B0317,X071,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,21,21,0.0,0.0,6,6,0.1,0.1,0.3,0.3,6,6,0.7,0.5,0.7,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.07534773087727217,-0.07990618786581477,-0.07078927388872958
H7B0329,X085,asymmetric_stress,2.0,0.3,16,32.0,9.6,22.4,14,21,0.1,0.1,4,9,0.0,0.0,0.1,0.1,6,6,0.0,0.0,0.3,0.3,0.05;0.10,2,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,0.0,20.0,-0.011094123448422966,-0.014874321022919128,-0.007313925873926805
H7B0332,X089,asymmetric_stress,4.0,0.3,64,256.0,76.8,179.2,28,28,0.1,0.1,4,4,0.0,0.0,0.7,0.7,12,12,0.3,0.3,0.5,0.5,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,5.0,0.0,20.0,-0.02834015820310847,-0.02910916829259953,-0.027571148113617414
H7B0344,X101,asymmetric_stress,3.1,0.9,16,49.6,44.64,4.959999999999999,28,28,0.0,0.0,12,12,0.1,0.1,0.7,0.7,12,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,5.0,0.0,20.0,-0.06061738041133902,-0.06274456889087854,-0.0584901919317995
H7B0353,X111,asymmetric_stress,4.0,0.5,32,128.0,64.0,64.0,14,14,0.3,0.3,4,6,0.0,0.0,0.7,0.7,6,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,1.0,4.0,0.0,20.0,-0.003987856740197921,-0.004922244851763558,-0.0030534686286322835
H7B0362,X120,asymmetric_stress,3.1,0.5,32,99.2,49.6,49.6,14,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,4,4,0.3,0.5,0.5,0.5,0.05;0.10;0.20,3,average_pre_minus_post_effect_reversed,reversed,0.0,3.0,0.0,20.0,-0.06068728579920193,-0.0626709066056009,-0.058703664992802954
H7B0364,X122,asymmetric_stress,2.0,0.7,64,128.0,89.6,38.400000000000006,28,28,0.1,0.0,9,9,0.0,0.0,0.5,0.5,9,12,0.7,0.7,0.7,0.7,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_reversed,reversed,0.0,5.0,0.0,20.0,-0.08248547028495912,-0.08372975733753879,-0.08124118323237944
H7B0365,X123,asymmetric_stress,3.1,0.3,32,99.2,29.76,69.44,14,14,0.5,0.0,9,9,0.0,0.0,0.5,0.5,6,6,0.0,0.0,0.0,0.0,0.05;0.10;0.20;0.30;0.50,5,average_pre_minus_post_effect_inconclusive,inconclusive,0.0,1.0,4.0,20.0,-0.001713529143751205,-0.0024633022288263187,-0.0009637560586760913
H7B0366,X124,asymmetric_stress,3.1,0.9,64,198.4,178.56,19.84,14,28,0.1,0.1,12,12,0.0,0.0,0.1,0.1,9,9,0.0,0.0,0.7,0.7,0.05;0.10,2,average_pre_minus_post_effect_reversed,reversed,0.0,2.0,0.0,20.0,-0.01579291699684822,-0.018237475732431393,-0.013348358261265045
