background_id,variant,selection_objective,policy,selected_source_stage,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,average_utilization_sd,weighted_utilization,weighted_utilization_sd,class_1_percent_serviced,class_1_percent_serviced_sd,class_2_percent_serviced,class_2_percent_serviced_sd,class_1_slot_utilization,class_1_slot_utilization_sd,class_2_slot_utilization,class_2_slot_utilization_sd,access_advantage_class_1,access_advantage_class_1_sd,class_1_balking_rate,class_1_balking_rate_sd,class_2_balking_rate,class_2_balking_rate_sd,class_1_no_show_rate,class_1_no_show_rate_sd,class_2_no_show_rate,class_2_no_show_rate_sd,class_1_no_offer_rate,class_1_no_offer_rate_sd,class_2_no_offer_rate,class_2_no_offer_rate_sd,class_1_mean_offered_booking_delay,class_1_mean_offered_booking_delay_sd,class_2_mean_offered_booking_delay,class_2_mean_offered_booking_delay_sd,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCP_BK_LOW_MILD_C01,release,average_utilization,baseline,baseline,6,0,-1,5,0.8839999999999995,0.009589345505061493,0.851173173581347,0.011361352039549442,0.8352978282470744,0.015178956917175171,0.8829238642498927,0.004435044945032862,0.08520547945205474,0.0018092797037588117,0.7986849315068494,0.010208232086665684,-0.04762603600281822,0.011825616010487183,0.10119173331475648,0.005506146390297628,0.05092665455114259,0.0015433845883669115,0.04170871643340196,0.0067046568713716075,0.04716606151900024,0.0026354192110280565,0.0,0.0,0.0,0.0,0.10514516813236144,0.03191199678838803,0.10250648507350371,0.024418590452215432,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,average_utilization,horizon_only,horizon_only,2,0,-1,5,0.8839999999999995,0.009589345505061493,0.851173173581347,0.011361352039549442,0.8352978282470744,0.015178956917175171,0.8829238642498927,0.004435044945032862,0.08520547945205474,0.0018092797037588117,0.7986849315068494,0.010208232086665684,-0.04762603600281822,0.011825616010487183,0.10119173331475648,0.005506146390297628,0.05092665455114259,0.0015433845883669115,0.04170871643340196,0.0067046568713716075,0.04716606151900024,0.0026354192110280565,0.0,0.0,0.0,0.0,0.10514516813236144,0.03191199678838803,0.10250648507350371,0.024418590452215432,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,average_utilization,reservation_only,reservation_only,6,17,3,5,0.8879086757990864,0.0028447158760005068,0.8479746916727123,0.010377244445277779,0.8313726301808261,0.014167889536231992,0.881178814656485,0.0034087099867825413,0.08533333333333332,0.002171327703924845,0.8024840182648401,0.0025129924480533842,-0.04980618447565882,0.011619975350528094,0.10160873064876148,0.005844456014966627,0.051380984538347996,0.0014734241621211625,0.04441859166968415,0.008362433700624382,0.04691483181867984,0.002385711079302087,0.0,0.0,0.0,0.0,0.11057775457259009,0.019096327483954737,0.11070434748255806,0.014031000559762287,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,average_utilization,both_flexible,both_flexible,6,17,3,5,0.8879086757990864,0.0028447158760005068,0.8479746916727123,0.010377244445277779,0.8313726301808261,0.014167889536231992,0.881178814656485,0.0034087099867825413,0.08533333333333332,0.002171327703924845,0.8024840182648401,0.0025129924480533842,-0.04980618447565882,0.011619975350528094,0.10160873064876148,0.005844456014966627,0.051380984538347996,0.0014734241621211625,0.04441859166968415,0.008362433700624382,0.04691483181867984,0.002385711079302087,0.0,0.0,0.0,0.0,0.11057775457259009,0.019096327483954737,0.11070434748255806,0.014031000559762287,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,weighted_utilization,baseline,baseline,6,0,-1,5,0.8839999999999995,0.009589345505061493,0.851173173581347,0.011361352039549442,0.8352978282470744,0.015178956917175171,0.8829238642498927,0.004435044945032862,0.08520547945205474,0.0018092797037588117,0.7986849315068494,0.010208232086665684,-0.04762603600281822,0.011825616010487183,0.10119173331475648,0.005506146390297628,0.05092665455114259,0.0015433845883669115,0.04170871643340196,0.0067046568713716075,0.04716606151900024,0.0026354192110280565,0.0,0.0,0.0,0.0,0.10514516813236144,0.03191199678838803,0.10250648507350371,0.024418590452215432,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,weighted_utilization,horizon_only,horizon_only,2,0,-1,5,0.8839999999999995,0.009589345505061493,0.851173173581347,0.011361352039549442,0.8352978282470744,0.015178956917175171,0.8829238642498927,0.004435044945032862,0.08520547945205474,0.0018092797037588117,0.7986849315068494,0.010208232086665684,-0.04762603600281822,0.011825616010487183,0.10119173331475648,0.005506146390297628,0.05092665455114259,0.0015433845883669115,0.04170871643340196,0.0067046568713716075,0.04716606151900024,0.0026354192110280565,0.0,0.0,0.0,0.0,0.10514516813236144,0.03191199678838803,0.10250648507350371,0.024418590452215432,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,weighted_utilization,reservation_only,reservation_only,6,22,3,5,0.8802009132420089,0.005897450750622797,0.8552356572198139,0.005924173338210412,0.8425952281389104,0.009194509108812313,0.8805165153816207,0.005716094842645242,0.0861735159817351,0.0019357714937017394,0.7936986301369864,0.004999113784809547,-0.037921287242710176,0.012028980413818826,0.09428477792215122,0.004805339866246782,0.049113068091915964,0.0013705593872135836,0.045448906818415014,0.008386331069342329,0.0490452678254593,0.0025648108926970966,0.0,0.0,0.0,0.0,0.09712646181649935,0.02237790219980617,0.11556104468978798,0.030832579410807998,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,weighted_utilization,both_flexible,both_flexible,6,22,3,5,0.8802009132420089,0.005897450750622797,0.8552356572198139,0.005924173338210412,0.8425952281389104,0.009194509108812313,0.8805165153816207,0.005716094842645242,0.0861735159817351,0.0019357714937017394,0.7936986301369864,0.004999113784809547,-0.037921287242710176,0.012028980413818826,0.09428477792215122,0.004805339866246782,0.049113068091915964,0.0013705593872135836,0.045448906818415014,0.008386331069342329,0.0490452678254593,0.0025648108926970966,0.0,0.0,0.0,0.0,0.09712646181649935,0.02237790219980617,0.11556104468978798,0.030832579410807998,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C02,release,average_utilization,baseline,baseline,14,0,-1,5,0.8780383561643827,0.003462996358548694,0.8597627879536066,0.004693680452604026,0.8425722308312624,0.006520352505372973,0.8941439021982946,0.0023207756096354924,0.2536109589041096,0.0023403739759186313,0.624482191780822,0.0036423727622887955,-0.05157167136703208,0.006040374712564096,0.10137786279137613,0.0040896382260649875,0.05010386901496132,0.0022428481209591303,0.046296241315672636,0.0026910392488582596,0.04566205114360196,0.001634371984895386,0.0,0.0,0.0,0.0,0.057656544852840594,0.0029447683236694545,0.058156969366882104,0.00516260854840091,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C02,release,average_utilization,horizon_only,horizon_only,2,0,-1,5,0.8780383561643827,0.003462996358548694,0.8597627879536066,0.004693680452604026,0.8425722308312624,0.006520352505372973,0.8941439021982946,0.0023207756096354924,0.2536109589041096,0.0023403739759186313,0.624482191780822,0.0036423727622887955,-0.05157167136703208,0.006040374712564096,0.10137786279137613,0.0040896382260649875,0.05010386901496132,0.0022428481209591303,0.046296241315672636,0.0026910392488582596,0.04566205114360196,0.001634371984895386,0.0,0.0,0.0,0.0,0.057656544852840594,0.0029447683236694545,0.058156969366882104,0.00516260854840091,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
