background_id,variant,selection_objective,comparison,first_policy,second_policy,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCP_NS_LOW_MILD_C16,release,weighted_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,-0.005369863013699128,-0.00655342465753519,-0.004186301369863065,supported_decrease,0.25440601561653853,0.2503093929509227,0.25907511734883903,supported_increase,0.4044862638157192,0.3986119078542363,0.41146616352345305,supported_increase,-0.045754480781822926,-0.04712205933229359,-0.04413776549088992,supported_decrease,0.1189698630136986,0.11646027397260272,0.12154520547945202,supported_increase,-0.12407671232876716,-0.12776986301369866,-0.12036164383561647,supported_decrease,5,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C16,compact_balanced_block_1,6,3.0,0.1,50,15.0,135.0,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C16,release,weighted_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,0.0022465753424654846,0.001117260273972075,0.003375342465753417,practical_tie,0.0007236159981824031,-0.003257143042502393,0.005705127563331258,practical_tie,0.0010485696981685556,-0.005166047033762511,0.008574191750689453,practical_tie,7.370859821018705e-05,-0.0015625567950784958,0.0014238781544524848,practical_tie,-0.0017643835616438619,-0.004898630136986382,0.0011178082191780625,practical_tie,0.0038465753424657078,0.0005449315068492462,0.007221917808219147,practical_tie,5,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C16,compact_balanced_block_1,6,3.0,0.1,50,15.0,135.0,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C16,release,weighted_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,-0.007616438356164612,-0.00883397260274048,-0.006684931506849123,supported_decrease,0.25368239961835615,0.2509653870397549,0.2569713523293568,supported_increase,0.4034376941175507,0.3989577913278791,0.4094859605317692,supported_increase,-0.045828189380033114,-0.04791624037756244,-0.04346873783885555,supported_decrease,0.12073424657534249,0.1172164383561644,0.1259350684931507,supported_increase,-0.12792328767123287,-0.13399726027397257,-0.12353972602739724,supported_decrease,5,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C16,compact_balanced_block_1,6,3.0,0.1,50,15.0,135.0,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,average_utilization,horizon_only_vs_baseline,horizon_only,baseline,0.0009863013698627077,-0.0017168949771690701,0.0036360730593598786,practical_tie,0.0007709157792374022,-0.0020498842699803845,0.0037436780787403665,practical_tie,-0.00022580424786687868,-0.003813252073592177,0.0033804631653340023,practical_tie,0.002764355833445975,0.0002768339373466877,0.0056773573586603844,practical_tie,5.479452054792944e-05,-0.0021552511415525166,0.0020821917808218847,practical_tie,0.0022648401826483645,0.0001278538812784946,0.0046575342465753344,practical_tie,5,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,average_utilization,reservation_only_vs_baseline,reservation_only,baseline,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,average_utilization,both_flexible_vs_baseline,both_flexible,baseline,0.0016255707762553805,0.0002739726027390477,0.0028493150684927083,practical_tie,0.003464386944828768,0.0006549101052325645,0.006254492904001263,practical_tie,0.006485474809122071,0.0007650298600581973,0.011500605364274451,supported_increase,-0.002577788783757906,-0.005375230359115524,0.00014795479474800645,practical_tie,0.007689497716894966,0.004018264840182651,0.011328310502283051,supported_increase,-0.005187214611872148,-0.00827397260273972,-0.0024840182648401933,supported_decrease,5,increase,tie,priority_gains_general_tied,priority_gains_general_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,average_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,0.0006392694063926729,-0.0016986301369861234,0.0029771689497714695,practical_tie,0.0026934711655913655,0.001015762002366205,0.00453591832641328,practical_tie,0.006711279056988951,0.0036954185674585084,0.00996164177260136,supported_increase,-0.005342144617203881,-0.00837236366352322,-0.0026302015667416857,supported_decrease,0.007634703196347037,0.005607305936073092,0.010137442922374397,supported_increase,-0.007452054794520513,-0.009388127853881234,-0.005515981735159792,supported_decrease,5,increase,decrease,priority_gains_general_loses,priority_gains_general_loses,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,average_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,0.0016255707762553805,0.0002739726027390477,0.0028493150684927083,practical_tie,0.003464386944828768,0.0006742809856562726,0.006254492904001263,practical_tie,0.006485474809122071,0.0013202781091708582,0.011168939197530826,supported_increase,-0.002577788783757906,-0.00540760766060675,6.47900616899566e-05,practical_tie,0.007689497716894966,0.004018264840182651,0.011324200913241978,supported_increase,-0.005187214611872148,-0.008127853881278523,-0.00239269406392697,supported_decrease,5,increase,tie,priority_gains_general_tied,priority_gains_general_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,average_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,-0.0009863013698627077,-0.0036894977168944855,0.0017168949771690701,practical_tie,-0.0007709157792374022,-0.003742103702268651,0.0022978201875094584,practical_tie,0.00022580424786687868,-0.0033804631653340023,0.00383207166106776,practical_tie,-0.002764355833445975,-0.0056773573586603844,-0.0002768339373466877,practical_tie,-5.479452054792944e-05,-0.0020821917808218847,0.001972602739726026,practical_tie,-0.0022648401826483645,-0.0046575342465753344,-0.0001278538812784946,practical_tie,5,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
PCP_NS_LOW_MILD_C17,release,weighted_utilization,horizon_only_vs_baseline,horizon_only,baseline,0.0009863013698627077,-0.0017168949771690701,0.0036894977168944855,practical_tie,0.0007709157792374022,-0.0021414285207225657,0.003742103702268651,practical_tie,-0.00022580424786687868,-0.00383207166106776,0.0033804631653340023,practical_tie,0.002764355833445975,0.0002768339373466877,0.005699331826172205,practical_tie,5.479452054792944e-05,-0.001972602739726026,0.002010958904109574,practical_tie,0.0022648401826483645,0.00010958904109583666,0.004876712328767119,practical_tie,5,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,no_show_sensitivity,low,mild,NS_LOW_MILD,C17,compact_balanced_block_1,14,3.0,0.3,30,27.0,62.99999999999999,0.2,0.2,22,0.1,0.2,22,0.1,0.2,14,0.1,0.2,20,0.05,0.1,False
