background_id,variant,policy,comparison,average_optimal_horizon_days,average_optimal_Q,average_optimal_window,weighted_optimal_horizon_days,weighted_optimal_Q,weighted_optimal_window,same_horizon,same_Q,same_window,same_policy_cell,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,capacity_tradeoff,priority_weighted_access_tradeoff,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCP_JT_LOW_MILD_C04,release,baseline,weighted_optimal_minus_average_optimal,6,0,-1,6,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C04,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C04,release,reservation_only,weighted_optimal_minus_average_optimal,6,50,5,6,46,3,True,False,False,False,-0.0017205479452056193,-0.012039452054794572,0.006367123287670884,practical_tie,0.004001825033863549,0.0013235374175875948,0.00680783626620034,practical_tie,-0.00043090873413058616,-0.004745312688440606,0.0053524191271997704,practical_tie,0.012867292569851885,0.009948083288377619,0.01531221223735435,supported_increase,-0.003452054794520554,-0.014106849315068526,0.0055890410958904235,practical_tie,0.0017753424657534155,-0.00037260273972604673,0.004591780821917824,practical_tie,5,tie,tie,tie,increase,priority_tied_general_gains,priority_tied_general_gains,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C04,release,both_flexible,weighted_optimal_minus_average_optimal,2,47,2,6,46,3,False,False,False,False,-0.0018410958904111264,-0.007189041095890336,0.003517808219177576,practical_tie,0.0026493340538645826,0.001343650065084856,0.003775946899162319,practical_tie,0.0004978216589160533,-0.0021702903297794317,0.0033405729715461963,practical_tie,0.0069523588437615524,0.003675677848820591,0.010001898618391647,supported_increase,-0.002882191780821897,-0.0070684931506848955,0.001369863013698658,practical_tie,0.0011068493150684922,-0.0018958904109589337,0.004109589041095918,practical_tie,5,tie,tie,tie,increase,priority_tied_general_gains,priority_tied_general_gains,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C05,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C05,compact_balanced_block_1,14,1.0,0.9,30,27.0,2.999999999999999,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C05,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C05,compact_balanced_block_1,14,1.0,0.9,30,27.0,2.999999999999999,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C05,release,reservation_only,weighted_optimal_minus_average_optimal,14,30,3,14,29,3,True,False,True,False,-0.004821917808219012,-0.013150684931507239,0.004054794520548466,practical_tie,0.008568167400165727,0.0035249555243878515,0.012120346127035343,supported_increase,9.882805057273014e-05,-0.0035547885553579633,0.0035425400146337884,practical_tie,0.025506846099351742,0.016993686930560848,0.03161165241284403,supported_increase,-0.00664840182648403,-0.017041095890410984,0.004182648401826472,uncertain_decrease,0.0018630136986301422,-0.0025753424657534163,0.00533333333333334,practical_tie,5,tie,increase,tie,increase,priority_tied_general_gains,priority_tied_general_gains,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C05,compact_balanced_block_1,14,1.0,0.9,30,27.0,2.999999999999999,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C05,release,both_flexible,weighted_optimal_minus_average_optimal,6,30,3,6,29,3,True,False,True,False,-0.004821917808219012,-0.01369863013698649,0.004054794520548466,practical_tie,0.008568167400165727,0.0036215653338819596,0.012149649274665553,supported_increase,9.882805057273014e-05,-0.00355079634649873,0.0035089081679475333,practical_tie,0.025506846099351742,0.01739184393401092,0.03161165241284403,supported_increase,-0.00664840182648403,-0.016756164383561672,0.004310502283105033,uncertain_decrease,0.0018630136986301422,-0.002557077625570775,0.00533333333333334,practical_tie,5,tie,increase,tie,increase,priority_tied_general_gains,priority_tied_general_gains,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C05,compact_balanced_block_1,14,1.0,0.9,30,27.0,2.999999999999999,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C06,release,baseline,weighted_optimal_minus_average_optimal,22,0,-1,22,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C06,compact_balanced_block_1,22,1.6,0.1,50,8.0,72.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
PCP_JT_LOW_MILD_C06,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,joint_delay_sensitivity,low,mild,JT_LOW_MILD,C06,compact_balanced_block_1,22,1.6,0.1,50,8.0,72.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,14,0.1,0.2,20,0.05,0.1,False
