background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,target_loss_share,balk_probability,noshow_probability,n_paired_seeds,mean_balk_loss_share,mean_noshow_loss_share,balk_target_error,noshow_target_error,loss_match_gap,loss_match_valid,delta_utilization_balk_minus_noshow,delta_utilization_balk_minus_noshow_ci_low,delta_utilization_balk_minus_noshow_ci_high,utilization_component,delta_class1_served_balk_vs_baseline,delta_class1_served_balk_vs_baseline_ci_low,delta_class1_served_balk_vs_baseline_ci_high,balk_served_component,delta_class1_served_noshow_vs_baseline,delta_class1_served_noshow_vs_baseline_ci_low,delta_class1_served_noshow_vs_baseline_ci_high,noshow_served_component,delta_utilization_balk_vs_baseline,delta_utilization_balk_vs_baseline_ci_low,delta_utilization_balk_vs_baseline_ci_high,delta_utilization_noshow_vs_baseline,delta_utilization_noshow_vs_baseline_ci_low,delta_utilization_noshow_vs_baseline_ci_high,failure_component,classification
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.05,0.05,0.044487757642102,20,0.04588132494049268,0.0467237761493554,0.004118675059507325,0.003276223850644605,0.0008424512088627198,True,0.0025000000000000022,-0.0026263145329770204,0.007626314532977025,inconclusive,-0.04588132494049273,-0.05118221289748384,-0.040580436983501625,supported,-0.04672377614935543,-0.05093249381338995,-0.04251505848532092,supported,-0.0012671232876712401,-0.006312888476514792,0.0037786419011723114,-0.0037671232876712426,-0.004104130513567334,-0.003430116061775151,utilization,inconclusive
H2B0001,A001,anchor,0.8,0.1,16,14,14,0.1,0.1,0.1,0.1049010418428988,0.1,20,0.11450194228858061,0.10450709507479379,0.014501942288580608,0.004507095074793785,0.009994847213786823,True,0.005839041095890401,-0.0004434390248638431,0.012121521216644646,inconclusive,-0.11450194228858068,-0.12049605938657698,-0.10850782519058438,supported,-0.10450709507479383,-0.10932611097694502,-0.09968807917264265,supported,-0.0025684931506849418,-0.008838322164280632,0.003701335862910748,-0.008407534246575343,-0.0087582061102943,-0.008056862382856385,utilization,inconclusive
H2B0002,A002,anchor,0.8,0.3,32,14,14,0.1,0.1,0.05,0.0467279053935499,0.05,20,0.04760707344547657,0.04970345611049319,0.0023929265545234307,0.00029654388950681176,0.002096382665016619,True,0.0038184931506849208,0.00024504626849420523,0.007391940032875636,inconclusive,-0.047607073445476586,-0.04960172233000225,-0.04561242456095092,supported,-0.04970345611049322,-0.05112783269564277,-0.04827907952534367,supported,-0.008112157534246572,-0.011600147314084064,-0.0046241677544090806,-0.011930650684931493,-0.012285794309597609,-0.011575507060265377,utilization,inconclusive
H2B0002,A002,anchor,0.8,0.3,32,14,14,0.1,0.1,0.1,0.1,0.1,20,0.10007868309726711,0.09989926214357803,7.86830972671071e-05,0.00010073785642197852,0.00017942095368908562,True,-0.0015154109589041232,-0.004924725212722041,0.001893903294913794,inconclusive,-0.10007868309726713,-0.10241374325900657,-0.09774362293552769,supported,-0.09989926214357805,-0.10312330342740872,-0.09667522085974739,supported,-0.025496575342465765,-0.02872714183082549,-0.02226600885410604,-0.023981164383561644,-0.02479177468638339,-0.023170554080739897,utilization,inconclusive
H2B0002,A002,anchor,0.8,0.3,32,14,14,0.1,0.1,0.2,0.2,0.2,20,0.20002738348190147,0.1982594074200224,2.738348190145512e-05,0.0017405925799776067,0.0017679760618790619,True,0.0002054794520547909,-0.004314720729580821,0.004725679633690403,inconclusive,-0.20002738348190147,-0.20352734732757133,-0.1965274196362316,supported,-0.19825940742002243,-0.20260898093261248,-0.19390983390743238,supported,-0.047384417808219184,-0.052024635926220426,-0.04274419969021794,-0.047589897260273975,-0.048707266495170105,-0.046472528025377845,utilization,inconclusive
H2B0003,A003,anchor,0.8,0.5,64,14,14,0.1,0.1,0.05,0.05,0.05,20,0.05097154434378247,0.049728581065751495,0.0009715443437824656,0.0002714189342485074,0.001242963278030973,True,0.003283390410958903,0.0006805694147040287,0.005886211407213777,inconclusive,-0.05097154434378248,-0.051907891562536196,-0.05003519712502877,supported,-0.04972858106575151,-0.05097401297501287,-0.04848314915649015,supported,-0.016605308219178085,-0.01920199231418631,-0.01400862412416986,-0.019888698630136988,-0.02039689371947932,-0.019380503540794656,utilization,inconclusive
H2B0003,A003,anchor,0.8,0.5,64,14,14,0.1,0.1,0.1,0.1,0.1,20,0.10109083386958125,0.09952175021602919,0.0010908338695812397,0.00047824978397081885,0.0015690836535520586,True,-0.00030821917808218635,-0.004065690748085011,0.003449252391920638,inconclusive,-0.10109083386958129,-0.10257073313353052,-0.09961093460563206,supported,-0.09952175021602923,-0.1008868930038867,-0.09815660742817175,supported,-0.04011130136986301,-0.043986115789943436,-0.036236486949782584,-0.039803082191780824,-0.0403863106475804,-0.03921985373598125,utilization,inconclusive
H2B0003,A003,anchor,0.8,0.5,64,14,14,0.1,0.1,0.2,0.2,0.1974367131818268,20,0.20023181997092712,0.1963131024407355,0.0002318199709271107,0.003686897559264518,0.003918717530191629,True,-0.0007170376712328618,-0.003695738322667989,0.002261662980202266,inconclusive,-0.20023181997092715,-0.2020523878320288,-0.1984112521098255,supported,-0.1963131024407355,-0.19844041553569838,-0.1941857893457726,supported,-0.07922945205479451,-0.08240827745024615,-0.07605062665934287,-0.07851241438356164,-0.07942298270847349,-0.0776018460586498,utilization,inconclusive
H2B0005,A005,anchor,1.25,0.9,32,14,14,0.1,0.1,0.05,0.05,0.0623640876670875,20,0.049850100486635705,0.049642699268501664,0.00014989951336429747,0.00035730073149833896,0.0002074012181340415,True,0.05582191780821919,0.054889330571941924,0.05675450504449646,supported,-0.00192819249207673,-0.006826326472647274,0.002969941488493814,inconclusive,-0.04964269926850171,-0.05049167541153147,-0.048793723125471956,supported,0.0,0.0,0.0,-0.05582191780821919,-0.05675450504449646,-0.054889330571941924,balk_served,inconclusive
H2B0010,A010,anchor,3.1,0.9,16,14,14,0.1,0.1,0.05,0.0649079975476937,0.1531583497000221,20,0.05012951158052056,0.050699069308524344,0.00012951158052055406,0.0006990693085243416,0.0005695577280037875,True,0.14185787671232872,0.14024594513814467,0.14346980828651276,supported,-0.003116905411802093,-0.004774168304208748,-0.001459642519395438,inconclusive,-0.05069906930852439,-0.05146805756371636,-0.04993008105333242,supported,0.00012842465753425957,-0.000600464195638146,0.0008573135107066652,-0.14172945205479448,-0.14354710173680363,-0.13991180237278533,balk_served,inconclusive
H2B0010,A010,anchor,3.1,0.9,16,14,14,0.1,0.1,0.1,0.1232683907745834,0.294303164691532,20,0.10312922320136668,0.09665520220582295,0.0031292232013666738,0.003344797794177054,0.006474020995543728,True,0.26963184931506856,0.2661084680477289,0.2731552305824082,supported,-0.002394098452295468,-0.004270365095151146,-0.0005178318094397898,inconclusive,-0.096655202205823,-0.09806001484425801,-0.09525038956738797,supported,-0.0005821917808218558,-0.0012182258282371619,5.384226659345035e-05,-0.2702140410958904,-0.2738881002692674,-0.26653998192251344,balk_served,inconclusive
H2B0014,A014,anchor,4.0,0.7,32,14,14,0.1,0.1,0.05,0.0785736203233715,0.1888462418659063,20,0.05090542292169914,0.05019804390206132,0.0009054229216991366,0.00019804390206131645,0.0007073790196378202,True,0.138839897260274,0.13707107386876183,0.14060872065178615,supported,-0.004809866078855954,-0.005825984144001096,-0.0037937480137108124,inconclusive,-0.05019804390206138,-0.05069306237268803,-0.04970302543143473,supported,-0.002748287671232913,-0.003957731223253952,-0.001538844119211874,-0.14158818493150688,-0.14287789918258498,-0.14029847068042878,balk_served,inconclusive
H2B0015,A015;X030,anchor,4.0,0.9,64,14,14,0.1,0.1,0.05,0.0845847520269946,0.1966768521085565,20,0.05177695574149901,0.049889953550162444,0.0017769557414990048,0.00011004644983755862,0.0018870021913365634,True,0.17935359589041094,0.17834349195423274,0.18036369982658915,supported,-0.00170840522803532,-0.002402132131707521,-0.001014678324363119,inconclusive,-0.04988995355016251,-0.05025748376736964,-0.049522423332955375,supported,-0.0009546232876712413,-0.0014074055990201321,-0.0005018409763223504,-0.18030821917808215,-0.18140410971777746,-0.17921232863838685,balk_served,inconclusive
H2B0015,A015;X030,anchor,4.0,0.9,64,14,14,0.1,0.1,0.1,0.1492614103065562,0.3933537042171131,20,0.09817282094505042,0.10011861366095003,0.0018271790549495848,0.00011861366095002046,0.0019457927158996052,True,0.36011558219178086,0.3586663930993388,0.36156477128422293,supported,-0.0030972071696362346,-0.003650067513488707,-0.002544346825783762,inconclusive,-0.1001186136609501,-0.10056598820121554,-0.09967123912068465,supported,-0.001757277397260265,-0.002117991333774988,-0.001396563460745542,-0.3618728595890411,-0.36325541453063154,-0.36049030464745063,balk_served,inconclusive
H2B0016,A016,anchor,0.8,0.5,32,7,7,0.0,0.0,0.05,0.05,0.05,20,0.051159509198808226,0.050611756631251725,0.001159509198808223,0.0006117566312517225,0.0005477525675565004,True,-0.002470034246575359,-0.006162341944009747,0.0012222734508590296,inconclusive,-0.051159509198808274,-0.052884389658054906,-0.04943462873956164,supported,-0.050611756631251795,-0.051800629759958174,-0.049422883502545416,supported,-0.022688356164383562,-0.02646837012357597,-0.018908342205191154,-0.020218321917808202,-0.020674497575745698,-0.019762146259870706,utilization,inconclusive
