background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,classification
H2B0234,S202,sobol_symmetric,0.8,0.9,32,21,21,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0235,S203,sobol_symmetric,1.25,0.5,16,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0236,S204,sobol_symmetric,4.0,0.7,64,28,28,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0237,S205;X089,sobol_symmetric,4.0,0.3,64,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0238,S206,sobol_symmetric,2.0,0.7,32,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0239,S207;X114,sobol_symmetric,0.8,0.1,64,21,21,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0240,S208,sobol_symmetric,3.1,0.9,16,7,7,0.0,0.0,1,0,1,1,2,balk_served;target_unattainable,inconclusive
H2B0241,S209,sobol_symmetric,3.1,0.1,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0242,S210,sobol_symmetric,0.8,0.9,32,14,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0243,S211,sobol_symmetric,2.0,0.3,64,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0244,S212,sobol_symmetric,4.0,0.7,16,7,7,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0245,S213,sobol_symmetric,4.0,0.3,32,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0246,S214;X002,sobol_symmetric,1.25,0.5,64,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0247,S215,sobol_symmetric,0.8,0.1,16,14,14,0.1,0.1,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0248,S216,sobol_symmetric,2.0,0.9,64,28,28,0.5,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0249,S217,sobol_symmetric,2.0,0.3,16,21,21,0.1,0.1,2,0,1,0,2,loss_matching_failed,supported
H2B0250,S218,sobol_symmetric,0.8,0.7,64,7,7,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0251,S219,sobol_symmetric,1.25,0.3,16,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0252,S220,sobol_symmetric,3.1,0.7,64,14,14,0.0,0.0,2,0,0,1,2,target_unattainable,supported
H2B0253,S221,sobol_symmetric,4.0,0.1,64,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0254,S222,sobol_symmetric,1.25,0.9,16,28,28,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0255,S223,sobol_symmetric,1.25,0.5,32,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0256,S224,sobol_symmetric,3.1,0.5,32,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0257,X001,asymmetric_stress,4.0,0.3,32,21,21,0.1,0.3,3,0,0,0,3,,supported
H2B0258,X003,asymmetric_stress,1.25,0.1,32,14,14,0.3,0.0,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0259,X004,asymmetric_stress,1.25,0.1,32,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0260,X005,asymmetric_stress,4.0,0.5,32,21,28,0.1,0.1,3,0,0,0,3,,supported
H2B0261,X006,asymmetric_stress,2.0,0.1,32,7,21,0.1,0.1,3,0,0,0,3,,supported
H2B0262,X007;X080,asymmetric_stress,2.0,0.5,32,14,28,0.1,0.1,3,0,0,0,3,,supported
H2B0263,X008,asymmetric_stress,3.1,0.1,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0264,X009,asymmetric_stress,0.8,0.1,16,28,28,0.1,0.5,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0265,X010,asymmetric_stress,3.1,0.5,64,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0266,X011,asymmetric_stress,0.8,0.9,32,21,21,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0267,X012,asymmetric_stress,3.1,0.3,32,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0268,X013,asymmetric_stress,0.8,0.5,32,14,21,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0269,X014,asymmetric_stress,2.0,0.7,16,21,28,0.1,0.1,3,0,0,0,3,,supported
H2B0270,X015,asymmetric_stress,1.25,0.5,16,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0271,X016,asymmetric_stress,1.25,0.3,16,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0272,X017,asymmetric_stress,2.0,0.5,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0273,X018,asymmetric_stress,1.25,0.9,64,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0274,X019,asymmetric_stress,1.25,0.1,64,14,14,0.1,0.3,3,0,0,0,3,,supported
H2B0275,X020,asymmetric_stress,4.0,0.1,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0276,X021,asymmetric_stress,3.1,0.9,16,28,21,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0277,X022,asymmetric_stress,0.8,0.5,32,7,7,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0278,X024,asymmetric_stress,0.8,0.5,32,14,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0279,X025,asymmetric_stress,1.25,0.1,32,14,21,0.0,0.0,2,0,1,0,3,utilization,supported
H2B0280,X026,asymmetric_stress,3.1,0.7,32,28,14,0.0,0.0,0,0,2,1,2,balk_served;target_unattainable,inconclusive
H2B0281,X027,asymmetric_stress,4.0,0.7,32,21,7,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0282,X028,asymmetric_stress,3.1,0.9,64,28,14,0.1,0.1,0,0,3,0,3,balk_served,inconclusive
H2B0283,X029,asymmetric_stress,3.1,0.3,32,7,7,0.0,0.0,3,0,0,0,3,,supported
H2B0284,X031,asymmetric_stress,1.25,0.3,32,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0285,X034,asymmetric_stress,1.25,0.9,16,28,28,0.0,0.0,1,0,2,0,3,balk_served,inconclusive
H2B0286,X035,asymmetric_stress,0.8,0.1,16,28,28,0.5,0.5,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0287,X036,asymmetric_stress,4.0,0.9,64,14,14,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0288,X037,asymmetric_stress,3.1,0.1,64,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0289,X038,asymmetric_stress,0.8,0.1,64,28,28,0.1,0.5,0,0,3,0,3,utilization,inconclusive
H2B0290,X039,asymmetric_stress,1.25,0.3,32,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0291,X040,asymmetric_stress,3.1,0.5,32,14,21,0.1,0.1,3,0,0,0,3,,supported
H2B0292,X041,asymmetric_stress,0.8,0.9,64,28,28,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0293,X042,asymmetric_stress,0.8,0.5,16,21,21,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0294,X044,asymmetric_stress,4.0,0.3,32,28,21,0.0,0.0,1,1,1,0,3,balk_served,inconclusive
H2B0295,X045,asymmetric_stress,3.1,0.1,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0296,X047,asymmetric_stress,1.25,0.3,16,28,21,0.1,0.1,3,0,0,0,3,,supported
H2B0297,X048,asymmetric_stress,4.0,0.3,32,14,14,0.0,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0298,X049,asymmetric_stress,4.0,0.3,16,14,21,0.3,0.3,3,0,0,0,3,,supported
H2B0299,X050,asymmetric_stress,3.1,0.9,16,21,28,0.5,0.5,0,0,3,0,3,balk_served,inconclusive
H2B0300,X051,asymmetric_stress,1.25,0.1,16,14,21,0.5,0.0,0,0,1,2,1,balk_served;target_unattainable;utilization,inconclusive
H2B0301,X052,asymmetric_stress,4.0,0.7,32,21,14,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0302,X053,asymmetric_stress,0.8,0.9,32,14,14,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0303,X054,asymmetric_stress,1.25,0.5,16,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0304,X055,asymmetric_stress,4.0,0.3,64,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0305,X056,asymmetric_stress,1.25,0.1,64,7,14,0.0,0.0,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0306,X058,asymmetric_stress,3.1,0.9,64,28,28,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0307,X061,asymmetric_stress,2.0,0.9,64,14,28,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0308,X062,asymmetric_stress,4.0,0.5,16,14,14,0.0,0.3,2,0,1,0,2,loss_matching_failed,supported
H2B0309,X063,asymmetric_stress,0.8,0.3,64,21,21,0.0,0.3,0,0,3,0,3,utilization,inconclusive
H2B0310,X064,asymmetric_stress,4.0,0.7,16,7,7,0.3,0.5,2,0,1,0,3,balk_served,supported
H2B0311,X068,asymmetric_stress,2.0,0.9,64,28,21,0.5,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0312,X069,asymmetric_stress,0.8,0.9,16,7,7,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0313,X070,asymmetric_stress,4.0,0.3,16,14,14,0.0,0.5,3,0,0,0,3,,supported
H2B0314,X071,asymmetric_stress,1.25,0.3,16,21,21,0.0,0.0,0,0,3,0,2,loss_matching_failed;utilization,inconclusive
H2B0315,X073,asymmetric_stress,4.0,0.7,32,28,7,0.1,0.1,1,0,2,0,3,balk_served,inconclusive
H2B0316,X074,asymmetric_stress,2.0,0.7,32,14,28,0.5,0.5,3,0,0,0,3,,supported
H2B0317,X075,asymmetric_stress,3.1,0.7,64,14,14,0.0,0.0,2,0,0,1,2,target_unattainable,supported
H2B0318,X076,asymmetric_stress,0.8,0.9,16,7,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0319,X077,asymmetric_stress,4.0,0.5,16,7,7,0.5,0.0,2,0,0,1,2,target_unattainable,supported
H2B0320,X078,asymmetric_stress,0.8,0.1,16,14,14,0.5,0.5,0,0,3,0,1,loss_matching_failed;utilization,inconclusive
H2B0321,X079,asymmetric_stress,3.1,0.5,64,28,7,0.3,0.3,3,0,0,0,3,,supported
H2B0322,X081,asymmetric_stress,1.25,0.9,16,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0323,X082,asymmetric_stress,4.0,0.3,32,28,21,0.3,0.3,3,0,0,0,3,,supported
H2B0324,X084,asymmetric_stress,2.0,0.7,16,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0325,X085,asymmetric_stress,2.0,0.3,16,14,21,0.1,0.1,2,0,1,0,2,loss_matching_failed,supported
H2B0326,X086,asymmetric_stress,1.25,0.5,64,7,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0327,X087,asymmetric_stress,1.25,0.9,16,28,28,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0328,X088,asymmetric_stress,4.0,0.7,32,21,14,0.1,0.5,0,0,3,0,3,balk_served,inconclusive
H2B0329,X091,asymmetric_stress,2.0,0.3,64,14,14,0.5,0.1,2,0,1,0,3,balk_served,supported
H2B0330,X092,asymmetric_stress,1.25,0.5,32,14,28,0.5,0.5,3,0,0,0,3,,supported
H2B0331,X093,asymmetric_stress,1.25,0.9,16,14,14,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0332,X094,asymmetric_stress,0.8,0.9,16,7,7,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0333,X095,asymmetric_stress,2.0,0.7,32,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0334,X096,asymmetric_stress,3.1,0.3,16,28,21,0.5,0.5,3,0,0,0,3,,supported
H2B0335,X098,asymmetric_stress,0.8,0.5,16,28,14,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0336,X100,asymmetric_stress,3.1,0.5,32,21,21,0.0,0.1,3,0,0,0,3,,supported
H2B0337,X102,asymmetric_stress,4.0,0.3,32,28,14,0.1,0.5,3,0,0,0,3,,supported
H2B0338,X103,asymmetric_stress,3.1,0.7,64,14,14,0.1,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0339,X104,asymmetric_stress,3.1,0.5,32,28,21,0.5,0.5,3,0,0,0,3,,supported
H2B0340,X105,asymmetric_stress,4.0,0.1,16,14,21,0.1,0.1,3,0,0,0,3,,supported
H2B0341,X106,asymmetric_stress,0.8,0.5,64,14,28,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0342,X107,asymmetric_stress,2.0,0.3,64,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0343,X108,asymmetric_stress,0.8,0.5,32,28,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0344,X110,asymmetric_stress,2.0,0.1,16,21,21,0.3,0.3,1,0,2,0,1,loss_matching_failed,inconclusive
H2B0345,X111,asymmetric_stress,4.0,0.5,32,14,14,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0346,X112,asymmetric_stress,0.8,0.7,16,28,14,0.3,0.3,1,0,2,0,3,utilization,inconclusive
H2B0347,X113,asymmetric_stress,2.0,0.7,16,21,21,0.5,0.0,0,0,3,0,3,balk_served,inconclusive
H2B0348,X115,asymmetric_stress,2.0,0.9,32,14,7,0.3,0.3,1,0,2,0,3,balk_served,inconclusive
H2B0349,X116,asymmetric_stress,2.0,0.3,16,28,28,0.5,0.3,3,0,0,0,3,,supported
H2B0350,X118,asymmetric_stress,4.0,0.5,16,14,14,0.0,0.0,2,0,1,0,2,loss_matching_failed,supported
H2B0351,X119,asymmetric_stress,4.0,0.7,32,7,7,0.1,0.3,1,0,2,0,2,balk_served;loss_matching_failed,inconclusive
H2B0352,X120,asymmetric_stress,3.1,0.5,32,14,21,0.0,0.0,0,0,2,1,2,balk_served;target_unattainable,inconclusive
H2B0353,X121,asymmetric_stress,0.8,0.3,32,28,14,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0354,X122,asymmetric_stress,2.0,0.7,64,28,28,0.1,0.0,2,0,1,0,3,balk_served,supported
H2B0355,X123,asymmetric_stress,3.1,0.3,32,14,14,0.5,0.0,0,0,0,3,0,target_unattainable,inactive
H2B0356,X124,asymmetric_stress,3.1,0.9,64,14,28,0.1,0.1,0,0,3,0,3,balk_served,inconclusive
H2B0357,X125,asymmetric_stress,1.25,0.7,16,14,28,0.1,0.1,3,0,0,0,3,,supported
H2B0358,X126,asymmetric_stress,3.1,0.1,16,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0359,X127,asymmetric_stress,0.8,0.1,32,28,28,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0360,X128,asymmetric_stress,0.8,0.7,32,28,21,0.0,0.0,0,0,3,0,3,utilization,inconclusive
