class1_high_balk,mean,std,n,se,ci95,metric
0.0,0.8406412671232877,0.003512323507244677,100,0.00035123235072446774,0.0006884154074199568,average_utilization
0.1,0.8409940068493151,0.0032781529623504336,100,0.00032781529623504335,0.0006425179806206849,average_utilization
0.2,0.8406489726027396,0.003201406350714631,100,0.0003201406350714631,0.0006274756447400676,average_utilization
0.3,0.8403287671232877,0.003497180760451974,100,0.0003497180760451974,0.0006854474290485869,average_utilization
0.4,0.8411087328767124,0.0031963788831583084,100,0.00031963788831583084,0.0006264902610990284,average_utilization
0.5,0.8408467465753425,0.0033917248480730155,100,0.00033917248480730156,0.000664778070222311,average_utilization
0.6,0.8404691780821918,0.002988394910428506,100,0.0002988394910428506,0.0005857254024439871,average_utilization
0.7,0.8406823630136987,0.003409708078600888,100,0.0003409708078600888,0.000668302783405774,average_utilization
0.8,0.8409940068493151,0.0032362353643198834,100,0.00032362353643198834,0.0006343021314066972,average_utilization
0.9,0.8409614726027397,0.0032435611983245606,100,0.00032435611983245606,0.0006357379948716138,average_utilization
0.0,0.2685102525298961,0.0018511462501214979,100,0.00018511462501214979,0.00036282466502381356,overall_percent_serviced
0.1,0.26801403251971334,0.0018194339430803353,100,0.00018194339430803352,0.0003566090528437457,overall_percent_serviced
0.2,0.26850169898227255,0.0018679844468035543,100,0.00018679844468035543,0.00036612495157349666,overall_percent_serviced
0.3,0.268339518507384,0.0018399565688016282,100,0.00018399565688016282,0.0003606314874851191,overall_percent_serviced
0.4,0.2686907399803994,0.0015457148697357536,100,0.00015457148697357536,0.0003029601144682077,overall_percent_serviced
0.5,0.26873068333974687,0.0018875263833138553,100,0.00018875263833138554,0.00036995517112951566,overall_percent_serviced
0.6,0.26891431406328153,0.0017953533500375887,100,0.00017953533500375887,0.0003518892566073674,overall_percent_serviced
0.7,0.2691812030495711,0.001850472980128688,100,0.0001850472980128688,0.0003626927041052229,overall_percent_serviced
0.8,0.2690228514286877,0.0018979449158983241,100,0.00018979449158983242,0.00037199720351607156,overall_percent_serviced
0.9,0.2692379329406292,0.001758323589587387,100,0.0001758323589587387,0.00034463142355912785,overall_percent_serviced
0.0,9.44100701135384,0.02445887454589601,100,0.002445887454589601,0.004793939410995618,mean_accepted_booking_delay
0.1,9.432427639923578,0.01952565844139976,100,0.0019525658441399759,0.0038270290545143527,mean_accepted_booking_delay
0.2,9.397935854091614,0.023148160253331683,100,0.002314816025333168,0.00453703940965301,mean_accepted_booking_delay
0.3,9.300339623405264,0.034768879497437906,100,0.0034768879497437907,0.00681470038149783,mean_accepted_booking_delay
0.4,8.967783255722216,0.0657986850207829,100,0.0065798685020782895,0.012896542264073448,mean_accepted_booking_delay
0.5,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.6,7.787207576850401,0.05092817616477919,100,0.0050928176164779185,0.00998192252829672,mean_accepted_booking_delay
0.7,7.5526270733165175,0.02396974286896114,100,0.002396974286896114,0.004698069602316383,mean_accepted_booking_delay
0.8,7.437301022413619,0.020528088798301744,100,0.0020528088798301746,0.004023505404467142,mean_accepted_booking_delay
