class1_high_balk,class_id,mean,std,n,se,ci95,metric
0.0,1,9.946126578704057,0.03350825729738036,100,0.0033508257297380365,0.006567618430286551,mean_accepted_booking_delay
0.0,2,8.687936638607846,0.04039208153799819,100,0.004039208153799819,0.007916847981447645,mean_accepted_booking_delay
0.1,1,9.875579068060215,0.029548006760999168,100,0.002954800676099917,0.005791409325155837,mean_accepted_booking_delay
0.1,2,8.809164560060179,0.03500744757884326,100,0.003500744757884326,0.006861459725453279,mean_accepted_booking_delay
0.2,1,9.76326918659062,0.02878661973891551,100,0.002878661973891551,0.0056421774688274395,mean_accepted_booking_delay
0.2,2,8.917194385338927,0.03861494536864817,100,0.0038614945368648174,0.007568529292255042,mean_accepted_booking_delay
0.3,1,9.57268169200489,0.039835158096533645,100,0.003983515809653364,0.007807690986920594,mean_accepted_booking_delay
0.3,2,8.969899578252457,0.04286801733085601,100,0.004286801733085601,0.008402131396847777,mean_accepted_booking_delay
0.4,1,9.109642044359422,0.07221390615926722,100,0.007221390615926722,0.014153925607216376,mean_accepted_booking_delay
0.4,2,8.810226757617254,0.06686115520858743,100,0.006686115520858743,0.013104786420883136,mean_accepted_booking_delay
0.5,1,8.350183612461322,0.08201680685626332,100,0.008201680685626333,0.016075294143827613,mean_accepted_booking_delay
0.5,2,8.347558429266552,0.08579954462625618,100,0.008579954462625617,0.01681671074674621,mean_accepted_booking_delay
0.6,1,7.636369359925195,0.054545526561028276,100,0.005454552656102828,0.010690923205961543,mean_accepted_booking_delay
0.6,2,7.921768654356794,0.056452392145379185,100,0.0056452392145379185,0.01106466886049432,mean_accepted_booking_delay
0.7,1,7.245983744712747,0.033019055512714245,100,0.0033019055512714243,0.006471734880491992,mean_accepted_booking_delay
0.7,2,7.798929409396781,0.031698413743896155,100,0.0031698413743896153,0.0062128890938036455,mean_accepted_booking_delay
0.8,1,6.965089719538259,0.027343346132343054,100,0.0027343346132343055,0.005359295841939239,mean_accepted_booking_delay
0.8,2,7.781574948019532,0.028655352735874346,100,0.0028655352735874346,0.005616449136231372,mean_accepted_booking_delay
0.9,1,6.709400002557578,0.029168672781039972,100,0.0029168672781039974,0.0057170598650838345,mean_accepted_booking_delay
0.9,2,7.783617957428737,0.02578394170139578,100,0.002578394170139578,0.005053652573473573,mean_accepted_booking_delay
0.0,1,9.946126578704057,0.03350825729738036,100,0.0033508257297380365,0.006567618430286551,mean_offered_booking_delay
0.0,2,9.947294542058655,0.031772166693196366,100,0.0031772166693196367,0.006227344671866488,mean_offered_booking_delay
0.1,1,10.05302288013454,0.028331501837571063,100,0.0028331501837571063,0.005552974360163929,mean_offered_booking_delay
0.1,2,10.05209368824424,0.029391641442956036,100,0.0029391641442956034,0.005760761722819383,mean_offered_booking_delay
0.2,1,10.136154071343462,0.026535049973752445,100,0.0026535049973752446,0.0052008697948554795,mean_offered_booking_delay
0.2,2,10.139471180892635,0.03149672285498755,100,0.003149672285498755,0.006173357679577559,mean_offered_booking_delay
0.3,1,10.154628893382394,0.03664614449260586,100,0.003664614449260586,0.0071826443205507485,mean_offered_booking_delay
0.3,2,10.151642069828533,0.0374253276402773,100,0.0037425327640277298,0.00733536421749435,mean_offered_booking_delay
0.4,1,9.902815625555387,0.07333853393498595,100,0.007333853393498594,0.014374352651257244,mean_offered_booking_delay
0.4,2,9.908882128924775,0.0709616765307901,100,0.00709616765307901,0.013908488600034859,mean_offered_booking_delay
0.5,1,9.3130393634939,0.08911706212608536,100,0.008911706212608537,0.017466944176712733,mean_offered_booking_delay
0.5,2,9.31019668845032,0.09139205364769944,100,0.009139205364769944,0.017912842514949092,mean_offered_booking_delay
0.6,1,8.748144864921025,0.05628469539844528,100,0.005628469539844528,0.011031800298095275,mean_offered_booking_delay
0.6,2,8.748447693280657,0.057825987342420435,100,0.005782598734242044,0.011333893519114405,mean_offered_booking_delay
0.7,1,8.54197973800387,0.028080657286196874,100,0.0028080657286196874,0.0055038088280945875,mean_offered_booking_delay
0.7,2,8.542102675571176,0.028749962380328935,100,0.0028749962380328936,0.005634992626544472,mean_offered_booking_delay
0.8,1,8.47248485674423,0.024282698344801453,100,0.0024282698344801454,0.004759408875581085,mean_offered_booking_delay
0.8,2,8.468713318185197,0.02491013289249891,100,0.002491013289249891,0.004882386046929785,mean_offered_booking_delay
0.9,1,8.429821408644681,0.02481538568000222,100,0.002481538568000222,0.004863815593280435,mean_offered_booking_delay
0.9,2,8.426714280332327,0.024050797199732066,100,0.0024050797199732066,0.004713956251147485,mean_offered_booking_delay
0.0,1,0.29731534590195247,0.0028474176930475457,100,0.0002847417693047546,0.000558093867837319,percent_serviced
0.0,2,0.2396998063965693,0.003006571023241112,100,0.0003006571023241112,0.000589287920555258,percent_serviced
0.1,1,0.29264673960996845,0.0030625478860408103,100,0.000306254788604081,0.0006002593856639988,percent_serviced
0.1,2,0.2433472599946207,0.0026567567466210147,100,0.00026567567466210146,0.0005207243223377189,percent_serviced
0.2,1,0.2884811457730385,0.0027660255972393015,100,0.00027660255972393016,0.0005421410170589031,percent_serviced
0.2,2,0.24850636834181924,0.0030012954811191547,100,0.00030012954811191545,0.0005882539142993543,percent_serviced
0.3,1,0.28289009581240787,0.0030384671012360586,100,0.00030384671012360584,0.0005955395518422675,percent_serviced
0.3,2,0.2538247985609871,0.0032047821249510293,100,0.0003204782124951029,0.0006281372964904016,percent_serviced
0.4,1,0.27688439330976605,0.002606397398906575,100,0.00026063973989065754,0.0005108538901856887,percent_serviced
0.4,2,0.2604930756442015,0.002750951073841894,100,0.0002750951073841894,0.0005391864104730113,percent_serviced
0.5,1,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,percent_serviced
0.5,2,0.2685650027559174,0.002671576875694467,100,0.0002671576875694467,0.0005236290676361155,percent_serviced
0.6,1,0.2595227121640322,0.0028027472772777433,100,0.0002802747277277743,0.0005493384663464376,percent_serviced
0.6,2,0.2782986299771854,0.0031514911622657713,100,0.0003151491162265771,0.0006176922678040912,percent_serviced
0.7,1,0.25122575284499266,0.0033120165264797176,100,0.00033120165264797173,0.0006491552391900246,percent_serviced
0.7,2,0.2871388504337961,0.0028264867788467055,100,0.0002826486778846705,0.0005539914086539542,percent_serviced
0.8,1,0.24341435805469935,0.0031782229354445734,100,0.00031782229354445734,0.0006229316953471364,percent_serviced
0.8,2,0.29460583713563127,0.00263951882889753,100,0.000263951882889753,0.0005173456904639159,percent_serviced
0.9,1,0.23737740224700946,0.0030562676547625876,100,0.00030562676547625875,0.0005990284603334671,percent_serviced
0.9,2,0.30107535381394057,0.002713416117394404,100,0.0002713416117394404,0.0005318295590093032,percent_serviced
0.0,1,0.464507705479452,0.0043262152391947304,100,0.000432621523919473,0.0008479381868821671,slot_utilization
0.0,2,0.374375,0.004442789997481829,100,0.0004442789997481829,0.0008707868395064385,slot_utilization
0.1,1,0.45855650684931504,0.004978334227557582,100,0.0004978334227557582,0.000975753508601286,slot_utilization
0.1,2,0.38076198630136987,0.004032538010619544,100,0.0004032538010619544,0.0007903774500814307,slot_utilization
0.2,1,0.4508227739726028,0.004231693583524295,100,0.0004231693583524295,0.0008294119423707618,slot_utilization
0.2,2,0.38808561643835615,0.004779776297178079,100,0.00047797762971780794,0.0009368361542469036,slot_utilization
0.3,1,0.44158904109589037,0.004963965624838413,100,0.0004963965624838413,0.0009729372624683289,slot_utilization
0.3,2,0.3971832191780822,0.004637750658539194,100,0.0004637750658539194,0.000908999129073682,slot_utilization
0.4,1,0.43272859589041096,0.004589143307200687,100,0.0004589143307200687,0.0008994720882113347,slot_utilization
0.4,2,0.4071464041095891,0.004885610380057686,100,0.0004885610380057687,0.0009575796344913066,slot_utilization
0.5,1,0.42071575342465756,0.00427048218565983,100,0.00042704821856598304,0.0008370145083893267,slot_utilization
0.5,2,0.4195393835616439,0.0041619652391149875,100,0.00041619652391149874,0.0008157451868665375,slot_utilization
0.6,1,0.4052585616438356,0.004354937822437915,100,0.0004354937822437915,0.0008535678131978313,slot_utilization
0.6,2,0.4348989726027397,0.004785381579865384,100,0.0004785381579865384,0.0009379347896536153,slot_utilization
0.7,1,0.39233219178082196,0.005121733154583153,100,0.0005121733154583154,0.001003859698298298,slot_utilization
0.7,2,0.44830993150684934,0.004879820181541493,100,0.0004879820181541493,0.0009564447555821325,slot_utilization
0.8,1,0.3802876712328767,0.004858919950724286,100,0.00048589199507242866,0.0009523483103419601,slot_utilization
0.8,2,0.4606969178082192,0.004451253440348798,100,0.0004451253440348798,0.0008724456743083644,slot_utilization
0.9,1,0.37053767123287673,0.004520616736586157,100,0.00045206167365861573,0.0008860408803708868,slot_utilization
0.9,2,0.47034246575342464,0.004246524429811252,100,0.0004246524429811252,0.0008323187882430054,slot_utilization
0.0,1,0.0,0.0,100,0.0,0.0,balking_rate
0.0,2,0.3283630426939738,0.0035703152215860326,100,0.00035703152215860325,0.0006997817834308624,balking_rate
0.1,1,0.06740082389137457,0.0017180491435282803,100,0.00017180491435282803,0.00033673763213154295,balking_rate
0.1,2,0.33595886411276754,0.003959111827137008,100,0.00039591118271370076,0.0007759859181188535,balking_rate
0.2,1,0.13804909465983534,0.002696797499884889,100,0.0002696797499884889,0.0005285723099774382,balking_rate
0.2,2,0.3444023738130981,0.0037208767388521072,100,0.0003720876738852107,0.000729291840815013,balking_rate
0.3,1,0.21069652603385436,0.0030276116841101946,100,0.0003027611684110195,0.0005934118900855982,balking_rate
0.3,2,0.35100562049129097,0.0040256471530397174,100,0.00040256471530397177,0.0007890268419957847,balking_rate
0.4,1,0.2844290816061889,0.003098849866913128,100,0.0003098849866913128,0.0006073745739149731,balking_rate
0.4,2,0.35560785027512537,0.003785589512325608,100,0.0003785589512325608,0.0007419755444158191,balking_rate
0.5,1,0.3558386361080537,0.0035465395892451653,100,0.00035465395892451653,0.0006951217594920524,balking_rate
0.5,2,0.3556394154774364,0.003810446989646798,100,0.0003810446989646798,0.0007468476099707724,balking_rate
0.6,1,0.41936698569614145,0.003757866991198329,100,0.0003757866991198329,0.0007365419302748725,balking_rate
0.6,2,0.3496010114166967,0.0042886115048205616,100,0.0004288611504820562,0.0008405678549448301,balking_rate
0.7,1,0.4622539849814696,0.004828756205056143,100,0.0004828756205056143,0.000946436216191004,balking_rate
0.7,2,0.3302253515936854,0.004526797874863813,100,0.00045267978748638133,0.0008872523834733074,balking_rate
0.8,1,0.4956442802812552,0.00558231664528575,100,0.0005582316645285749,0.0010941340624760069,balking_rate
0.8,2,0.30885863227287097,0.003771236919945464,100,0.0003771236919945464,0.000739162436309311,balking_rate
0.9,1,0.522773140600194,0.005673751818742401,100,0.00056737518187424,0.0011120553564735105,balking_rate
0.9,2,0.2901246966296783,0.003889983706697098,100,0.0003889983706697098,0.0007624368065126312,balking_rate
0.0,1,18248.66,133.25393241871134,100,13.325393241871135,26.117770754067422,arrivals
0.0,2,18243.02,131.5516551769614,100,13.155165517696139,25.78412441468443,arrivals
0.1,1,18302.18,140.48432674361214,100,14.048432674361214,27.53492804174798,arrivals
0.1,2,18276.16,145.40363326154082,100,14.540363326154083,28.499112119262,arrivals
0.2,1,18253.45,141.44288028684406,100,14.144288028684405,27.722804536221435,arrivals
0.2,2,18240.75,131.09772551941404,100,13.109772551941404,25.695154201805153,arrivals
0.3,1,18232.8,138.39644416521656,100,13.839644416521656,27.125703056382445,arrivals
0.3,2,18277.44,128.65224601242096,100,12.865224601242096,25.215840218434508,arrivals
0.4,1,18254.32,129.53622635924629,100,12.953622635924628,25.38910036641227,arrivals
0.4,2,18255.87,136.95465997507688,100,13.695465997507688,26.84311335511507,arrivals
0.5,1,18275.24,140.97360738733312,100,14.097360738733311,27.63082704791729,arrivals
0.5,2,18246.4,130.17734600974725,100,13.017734600974725,25.51475981791046,arrivals
0.6,1,18239.41,129.60733978155926,100,12.960733978155925,25.403038597185613,arrivals
0.6,2,18253.05,145.6624973399576,100,14.566249733995761,28.549849478631693,arrivals
0.7,1,18240.86,136.17316812489867,100,13.617316812489866,26.689940952480136,arrivals
0.7,2,18236.35,143.95849394807482,100,14.395849394807481,28.215864813822662,arrivals
0.8,1,18248.43,152.31368847536214,100,15.231368847536213,29.853482941170977,arrivals
