regime_id,q,total_demand,class_1_share,n_pairs,offered_wait_difference,offered_wait_ci95_low,offered_wait_ci95_high,no_offer_rate_difference,no_offer_ci95_low,no_offer_ci95_high,composition_flag
t05_09_b03,16,100,0.25,20,-1.907736020819878,-1.9175402257341456,-1.8978981730116082,0.20318753930404684,0.2005747047093823,0.2056480708256869,True
t05_09_b03,16,100,0.5,20,-0.13368789380286783,-0.14580629512348917,-0.1218104862234917,0.0025698681141357303,-0.0005182427989660508,0.005389655711260258,False
t05_09_b03,16,100,0.75,20,-0.008080591668601932,-0.020937535222693465,0.0029969967121275007,-0.0025250023853983262,-0.005334030536667958,0.00028752487062974044,False
t05_09_b03,24,24,0.25,20,6.063454430305891,6.02098572498965,6.10460165031734,0.000123902521931115,1.1294330246215e-05,0.0002574290237272,False
t05_09_b03,24,24,0.5,20,2.4713678638479832,2.4170523740863206,2.521745473806156,0.0,0.0,0.0,False
t05_09_b03,24,24,0.75,20,0.022941469787992337,0.020254434138743903,0.025705388400888495,0.0,0.0,0.0,False
t05_09_b03,24,32,0.25,20,6.408153381875243,6.344093529476705,6.469948789378061,0.07168818339412805,0.0689365372161805,0.07450607639064982,False
t05_09_b03,24,32,0.5,20,3.059569081599509,3.003230650853732,3.1138258828255365,0.0,0.0,0.0,False
t05_09_b03,24,32,0.75,20,0.014895685133311593,-0.05999735048085292,0.0925063771096561,0.0,0.0,0.0,False
t05_09_b03,24,50,0.25,20,1.3907425725375337,1.357091653853492,1.4240472738154781,0.306069788252037,0.3036344200488835,0.3082740635497882,False
t05_09_b03,24,50,0.5,20,0.525222890708727,0.4891760455822223,0.5573754007754832,0.06357107634231465,0.06177109738923118,0.06547271610175907,False
t05_09_b03,24,50,0.75,20,0.31645561303594333,0.2859663607890127,0.34683045673586305,0.0,0.0,0.0,False
t05_09_b03,24,100,0.25,20,-4.567032100948062,-4.591837320052833,-4.543472586464465,0.419187732060459,0.41702862551599074,0.42143194023255004,True
t05_09_b03,24,100,0.5,20,-2.7261494683048513,-2.754598221966267,-2.6958618222432045,0.18361664098052155,0.18027276790015279,0.18654374947384542,True
t05_09_b03,24,100,0.75,20,-0.10165542135788552,-0.11734976978747369,-0.0854955387211369,-0.0005920374488206099,-0.0032182844005939574,0.0019563314510484455,False
t05_09_b03,31,24,0.25,20,3.175962931894298,3.140046315645165,3.213232326888474,0.6339664907111081,0.6320054165763412,0.635993375556129,False
t05_09_b03,31,24,0.5,20,1.8723972406759295,1.8535152263987829,1.8898842118268135,0.38640772100698767,0.3836250949451087,0.3890210578521999,False
t05_09_b03,31,24,0.75,20,1.3034375858974123,1.2894323356217914,1.317318157738518,0.13576004516032394,0.1341929785428807,0.13723636730506827,False
t05_09_b03,31,32,0.25,20,1.832317146404091,1.7552115470749463,1.9075944586459046,0.6618516121612,0.6601343175626854,0.6636839614095696,False
t05_09_b03,31,32,0.5,20,0.8016211229607941,0.7338516563693392,0.8663822591965133,0.41429528026863627,0.4125503517607392,0.4161709728224941,False
t05_09_b03,31,32,0.75,20,0.33183227492548434,0.2580719187697719,0.40810923417922135,0.16550897908682205,0.16384717521659828,0.16727133707839723,False
t05_09_b03,31,50,0.25,20,-3.2218777233555125,-3.255984423467237,-3.1931230799693857,0.6930575665062346,0.6914287855062701,0.6946677230962415,True
t05_09_b03,31,50,0.5,20,-3.7872239472976674,-3.810933580355873,-3.76302855210067,0.44480222206245107,0.44216843539659517,0.4475680502685195,True
t05_09_b03,31,50,0.75,20,-1.3707638639389461,-1.4075630738478955,-1.3306293939649656,0.19513344001321403,0.19395506967963105,0.19627244763918925,True
t05_09_b03,31,100,0.25,20,-8.984963120944077,-8.998776468077006,-8.971232467120776,0.6142440661409571,0.6122587457971482,0.6162776433978113,True
t05_09_b03,31,100,0.5,20,-4.954790506059614,-4.967184045072114,-4.943240525172074,0.3737770183590806,0.37121835080199334,0.37614828113735166,True
t05_09_b03,31,100,0.75,20,-2.177386987467769,-2.209419443256118,-2.148503930756011,0.1363819517950831,0.13354715858296798,0.13900036238567634,True
t05_09_b03,32,24,0.25,20,-0.006217409563789815,-0.007026422435252424,-0.005430363339784493,0.7491334801019279,0.7480243526390621,0.7503160925829143,True
t05_09_b03,32,24,0.5,20,-0.006422689745018159,-0.007360748309098656,-0.005492263351658431,0.4996525361839888,0.49708956826532574,0.5024309416489319,True
t05_09_b03,32,24,0.75,20,-0.005701822056300125,-0.006550428691493812,-0.0048784595969109485,0.2505688210608726,0.24835463084350393,0.2527630741495281,False
t05_09_b03,32,32,0.25,20,-0.7665747320721852,-0.8367999004033071,-0.6994396998151281,0.7494580984108611,0.7477261114099558,0.7511679545917512,True
