background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,balk_low_class1_background,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,seed,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.0,0.0,False,2000,0.7719178082191781,1.0,0.632429394407756,15.003147779986746,15.030636735846393,0.7399944024629164,0.5239841986455982,0.14781872088098263,0.0,0.2966846132048739,0.45273972602739726,0.3179794520547945,0.5948630136986301,0.4126712328767123,15.03235790658413,15.028903372060073,0.21601020381731817,-0.2966846132048739,-0.0034545345240566405,3573,3544,3554,3529,3554,2482,0,1047,0,0,830,553,2644,1857,0.005317660229499021,0.004232505643340858,0.00477729380356892,15.03235790658413,14.961321514907333,0.0,0.2954288939051919,0.23229778897285194,0.15603837471783297,0.0,0.0,7117,7083
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.0,0.0,False,2001,0.7308219178082191,1.0,0.5793262700353164,16.870385697732164,16.918136908962598,0.6758317294473467,0.4851006711409396,0.14735356386732534,0.0,0.29121338912133893,0.4208904109589041,0.3094178082191781,0.5856164383561644,0.42311643835616436,16.9,16.93584379358438,0.19073105830640713,-0.29121338912133893,0.03584379358438028,3637,3725,3500,3585,3500,2541,0,1044,0,0,962,664,2458,1807,0.037668408028594995,0.03758389261744966,0.037625645205107305,16.9,16.829594647776467,0.0,0.2802684563758389,0.26450371185042615,0.17825503355704697,0.0,0.0,7362,7085
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.1,0.1,True,2000,0.9347602739726028,1.0,0.7548573790822654,8.553507424475166,8.568967893068761,0.8473240967128498,0.6596756152125279,0.19264158743282347,0.09644118446074436,0.2916666666666667,0.5340753424657534,0.40393835616438356,0.5695205479452055,0.43373287671232874,8.580005433306166,8.557606263982104,0.18764848150032187,-0.19522548220592234,-0.022399169324062385,3681,3576,3681,3576,3326,2533,355,1043,0,0,207,174,3119,2359,0.0,0.0,0.0,8.573361395069153,8.52743782076589,0.09644118446074436,0.2916666666666667,0.05623471882640587,0.04865771812080537,0.0,0.0,7257,7257
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.1,0.1,True,2001,0.7708904109589041,1.0,0.606612685560054,11.270491803278688,11.30877192982456,0.6805629314922995,0.5301866081229418,0.1932523616734143,0.09426447158789167,0.2955543358946213,0.4388698630136986,0.3308219178082192,0.5751712328767123,0.43356164383561646,11.355549654806161,11.260428100987925,0.1503763233693577,-0.20128986430672965,-0.09512155381823639,3766,3644,3766,3644,3411,2567,355,1077,0,0,796,600,2563,1932,0.0,0.0,0.0,11.337144532395191,11.181924425399298,0.09426447158789167,0.2955543358946213,0.21136484333510355,0.16465422612513722,0.0,0.0,7410,7410
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.3,0.3,True,2000,1.0,1.0,0.7989048596851471,6.66329677861549,6.757289527720739,0.8027004684486084,0.795157780195865,0.20109514031485284,0.19729953155139157,0.20484221980413492,0.4988013698630137,0.500513698630137,0.4988013698630137,0.500513698630137,6.745384403416919,6.769042437431991,0.007542688252743401,-0.007542688252743346,0.023658034015071827,3629,3676,3629,3676,2913,2923,716,753,0,0,0,0,2913,2923,0.0,0.0,0.0,6.653964984552008,6.672596647280192,0.19729953155139157,0.20484221980413492,0.0,0.0,0.0,0.0,7305,7305
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.3,0.3,True,2001,1.0,1.0,0.8002195389681669,6.641632373113855,6.7258507135016465,0.8050331858407079,0.795479302832244,0.19978046103183314,0.19496681415929204,0.204520697167756,0.49845890410958904,0.5001712328767123,0.49845890410958904,0.5001712328767123,6.7234513274336285,6.728213507625273,0.009553883008463937,-0.009553883008463965,0.004762180191644205,3616,3672,3616,3672,2911,2921,705,751,0,0,0,0,2911,2921,0.0,0.0,0.0,6.640329783579526,6.642930503252311,0.19496681415929204,0.204520697167756,0.0,0.0,0.0,0.0,7288,7288
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.5,0.5,False,2000,1.0,1.0,0.794073671333424,6.376754536117768,6.5056408862308,0.7412663755458515,0.8464662875710804,0.20592632866657604,0.2587336244541485,0.15353371242891958,0.46506849315068494,0.5352739726027397,0.46506849315068494,0.5352739726027397,6.511189956331878,6.500135391280802,-0.10519991202522894,0.10519991202522891,-0.011054565051075826,3664,3693,3664,3693,2716,3126,948,567,0,0,0,0,2716,3126,0.0,0.0,0.0,6.339469808541973,6.409149072296865,0.2587336244541485,0.15353371242891958,0.0,0.0,0.0,0.0,7357,7357
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.5,0.5,False,2001,1.0,1.0,0.7885420889069045,6.397361206305689,6.5250641805161465,0.7380084151472651,0.8355057351407716,0.21145791109309553,0.26199158485273494,0.16449426485922836,0.45051369863013696,0.5488013698630136,0.45051369863013696,0.5488013698630136,6.52538569424965,6.524765380604797,-0.09749731999350653,0.09749731999350658,-0.0006203136448528213,3565,3836,3565,3836,2631,3205,934,631,0,0,0,0,2631,3205,0.0,0.0,0.0,6.356138350437096,6.431201248049922,0.26199158485273494,0.16449426485922836,0.0,0.0,0.0,0.0,7401,7401
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.0,0.0,False,2002,0.7446917808219178,1.0,0.5917063222297757,16.693769624855396,16.721752606367993,0.6835374149659864,0.5,0.14750633981403213,0.0,0.2960135708227311,0.4301369863013699,0.3150684931506849,0.5929794520547945,0.41643835616438357,16.699803426003932,16.743850720949958,0.1835374149659864,-0.2960135708227311,0.04404729494602577,3675,3680,3561,3537,3561,2490,0,1047,0,0,951,592,2512,1840,0.031020408163265307,0.03885869565217391,0.03494221617946975,16.699803426003932,16.685140562248996,0.0,0.2845108695652174,0.2587755102040816,0.1608695652173913,0.0,0.0,7355,7098
H5B0027,A027,anchor,1.25,0.5,16,21,21,0.0,0.0,0.0,False,2003,0.7267123287671233,1.0,0.5804243668720055,17.213505461767628,17.24110671936759,0.6765676567656765,0.485145816298719,0.1470920383963862,0.0,0.29236812570145904,0.4212328767123288,0.3047945205479452,0.586472602739726,0.4208904109589041,17.186647727272728,17.29489337822671,0.19142184046695754,-0.29236812570145904,0.10824565095398242,3636,3669,3520,3564,3520,2522,0,1042,0,0,965,678,2460,1780,0.0319031903190319,0.028618152085036794,0.03025325119780972,17.186647727272728,17.250991276764474,0.0,0.2840010902153175,0.2654015401540154,0.1847914963205233,0.0,0.0,7305,7084
