seed,step_index,gap_index,within_step,post_gap,class_1_low,class_1_high,class_2_low,class_2_high,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,booked_slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
14,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18447,9274,9173,18447,0,4706,839,3729,8.1638990726763,8.170759473085054,0.20214669051878353,0.319263698630137,0.3910958904109589,0.4972624274949856,75712.0,150726.0
14,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18241,13104,5137,18241,0,5982,994,6128,7.325854700854701,8.149224274984924,0.3359464941615043,0.5246575342465754,0.6097602739726027,0.2816183323282715,95998.0,148650.0
15,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18319,9026,9293,18319,0,4511,815,3700,8.111788167516064,8.086140073148098,0.20197609039794748,0.3167808219178082,0.3865582191780822,0.5072875156940881,73217.0,148130.0
15,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18322,13239,5083,18322,0,6084,1032,6123,7.331898179620818,8.123512716952298,0.3341884073791071,0.5242294520547945,0.6125856164383562,0.277426045191573,97067.0,148839.0
16,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18166,9076,9090,18166,0,4612,831,3633,8.214301454385192,8.215732687438072,0.19998899042166685,0.3110445205479452,0.3821917808219178,0.5003853352416603,74553.0,149247.0
16,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18460,13175,5285,18460,0,5948,1026,6201,7.398861480075901,8.21679306608884,0.3359154929577465,0.5309075342465753,0.61875,0.2862946912242687,97480.0,151682.0
17,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18410,9143,9267,18410,0,4636,827,3680,8.131247949250794,8.128788701792503,0.19989136338946226,0.3150684931506849,0.38587328767123286,0.5033677349266703,74344.0,149651.0
17,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18303,13138,5165,18303,0,5966,1034,6138,7.305449840158319,8.115227011965251,0.3353548598590395,0.525513698630137,0.614041095890411,0.2821941758181719,95979.0,148533.0
18,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18167,9053,9114,18167,0,4597,806,3650,8.015354026289629,8.011999779820554,0.20091374470193207,0.3125,0.3815068493150685,0.5016788682776463,72563.0,145554.0
18,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18221,13215,5006,18221,0,6001,1053,6161,7.236549375709421,8.022007573678723,0.3381263377421656,0.5274828767123287,0.6176369863013699,0.2747379397398606,95631.0,146169.0
19,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18382,9239,9143,18382,0,4622,844,3772,8.199480463253598,8.2012838646502,0.2052007398542052,0.32294520547945205,0.3952054794520548,0.4973887498639974,75755.0,150756.0
19,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18437,12972,5465,18437,0,5898,1003,6069,7.353145235892692,8.199544394424256,0.32917502847534846,0.5196061643835617,0.6054794520547945,0.2964148180289635,95385.0,151175.0
20,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18441,9304,9137,18441,0,4724,826,3753,8.183899398108341,8.2156065289301,0.20351390922401172,0.32131849315068495,0.3920376712328767,0.49547204598449107,76143.0,151504.0
20,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18211,13054,5157,18211,0,5957,1071,6026,7.402252183238854,8.206248970402504,0.33089890725385757,0.5159246575342465,0.6076198630136986,0.2831804953050354,96629.0,149444.0
21,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18293,9192,9101,18293,0,4546,821,3825,8.08159268929504,8.085661181872847,0.20909637566282185,0.3274828767123288,0.3977739726027397,0.49751270977969714,74286.0,147911.0
21,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18016,13017,4999,18016,0,5994,1041,5982,7.290159022816317,8.084036412078152,0.33203818827708703,0.5121575342465754,0.6012842465753425,0.27747557726465366,94896.0,145642.0
22,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18237,9223,9014,18237,0,4698,870,3655,8.13531388919007,8.13905795909415,0.20041673520864178,0.3129280821917808,0.3874143835616438,0.4942698908811756,75032.0,148432.0
22,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18366,13156,5210,18366,0,6011,1092,6051,7.2972788081483735,8.1151039965153,0.32946749428291405,0.5180650684931507,0.6115582191780822,0.28367635848851136,96003.0,149042.0
23,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18249,9067,9182,18249,0,4556,785,3726,8.030329767287967,8.078086470491534,0.20417557126417885,0.3190068493150685,0.3862157534246575,0.5031508575812373,72811.0,147417.0
23,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18209,13237,4972,18209,0,6090,1056,6091,7.329153131374178,8.096161238947774,0.334504915151848,0.5214897260273973,0.6119006849315068,0.27305178757757154,97016.0,147423.0
24,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18147,9116,9031,18147,0,4542,831,3743,8.187033786748573,8.18879153579104,0.20625998787678404,0.3204623287671233,0.3916095890410959,0.49765801509891444,74633.0,148602.0
24,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18407,13101,5306,18407,0,5997,1082,6022,7.3879856499503855,8.197424892703863,0.32715814635736407,0.5155821917808219,0.6082191780821918,0.28825990112457217,96790.0,150890.0
25,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18352,9243,9109,18352,0,4663,794,3782,8.073244617548415,8.055634263295554,0.20608108108108109,0.3238013698630137,0.3917808219178082,0.49634917175239757,74621.0,147837.0
25,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18255,13172,5083,18255,0,6036,1045,6088,7.254023686607956,8.055546425636813,0.3334976718707203,0.5212328767123288,0.6107020547945206,0.2784442618460696,95550.0,147054.0
26,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18249,9169,9080,18249,0,4582,846,3739,8.200239938924637,8.213326757630556,0.20488793906515426,0.32011986301369866,0.3925513698630137,0.49756151021973805,75188.0,149885.0
26,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18503,13194,5309,18503,0,6089,1053,6049,7.303319690768531,8.134140409663297,0.3269199589255796,0.5178938356164383,0.6080479452054794,0.286926444360374,96360.0,150506.0
27,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18010,8937,9073,18010,0,4448,809,3678,8.193241579948529,8.149583564686285,0.2042198778456413,0.3148972602739726,0.38416095890410956,0.503775680177679,73223.0,146774.0
27,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18491,13240,5251,18491,0,6036,1064,6138,7.383081570996979,8.188848629062788,0.3319452706722189,0.525513698630137,0.6166095890410959,0.2839759883186415,97752.0,151420.0
28,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18223,9044,9179,18223,0,4537,827,3680,8.140535161432995,8.156231136475881,0.20194260001097514,0.3150684931506849,0.38587328767123286,0.5037041101904187,73623.0,148631.0
28,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18407,13218,5189,18407,0,6059,1092,6067,7.365864729913754,8.179333949041126,0.32960286847395015,0.5194349315068493,0.6129280821917809,0.2819036236214484,97362.0,150557.0
29,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18347,9200,9147,18347,0,4618,830,3752,8.172065217391305,8.139368834141822,0.20450209843571157,0.32123287671232875,0.3922945205479452,0.4985556221725623,75183.0,149333.0
29,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18192,12991,5201,18192,0,5880,1146,5963,7.3408513586329,8.157102022867194,0.3277814423922603,0.5105308219178082,0.6086472602739726,0.28589489885664027,95365.0,148394.0
30,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18292,9189,9103,18292,0,4669,780,3740,8.152464903689193,8.169199650120271,0.20446096654275092,0.3202054794520548,0.386986301369863,0.4976492455718347,74913.0,149431.0
30,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18200,12999,5201,18200,0,5846,1012,6141,7.319563043311024,8.136758241758242,0.3374175824175824,0.5257705479452055,0.6124143835616438,0.2857692307692308,95147.0,148089.0
31,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18250,9056,9194,18250,0,4541,807,3708,8.134496466431095,8.120219178082191,0.20317808219178082,0.31746575342465755,0.3865582191780822,0.5037808219178083,73666.0,148194.0
31,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18081,12976,5105,18081,0,5822,1020,6134,7.301479654747226,8.101764282948952,0.33925114761351693,0.5251712328767123,0.6125,0.2823405785078259,94744.0,146488.0
32,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18005,9037,8968,18005,0,4493,753,3791,8.044041164103131,8.052041099694529,0.21055262427103583,0.3245719178082192,0.38904109589041097,0.49808386559289086,72694.0,144977.0
32,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,17904,12995,4909,17904,0,5870,1046,6079,7.262485571373605,8.044962019660412,0.3395330652368186,0.5204623287671233,0.6100171232876712,0.27418453976764967,94376.0,144037.0
33,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18506,9114,9392,18506,0,4598,807,3709,8.158657011191574,8.122554847076623,0.20042148492380849,0.3175513698630137,0.38664383561643834,0.5075110774883822,74358.0,150316.0
33,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18146,13099,5047,18146,0,5924,1042,6133,7.3212458966333305,8.123608508762262,0.33798082221977294,0.5250856164383562,0.6142979452054794,0.2781329218560564,95901.0,147411.0
34,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18016,8975,9041,18016,0,4511,735,3729,8.091476323119776,8.08825488454707,0.20698268206039078,0.319263698630137,0.3821917808219178,0.5018317051509769,72621.0,145718.0
34,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18410,13263,5147,18410,0,6041,1023,6199,7.32134509537812,8.117707767517654,0.3367191743617599,0.530736301369863,0.6183219178082192,0.27957631721890275,97103.0,149447.0
35,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18235,9138,9097,18235,0,4592,804,3742,8.167432698621143,8.134357005758158,0.2052097614477653,0.32037671232876713,0.3892123287671233,0.49887578831916646,74634.0,148330.0
35,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18229,12940,5289,18229,0,5793,1059,6088,7.297295208655332,8.128202314992594,0.3339733391848154,0.5212328767123288,0.6119006849315068,0.290142081299029,94427.0,148169.0
36,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18329,9072,9257,18329,0,4596,780,3696,7.967261904761905,8.01429428774074,0.20164766217469585,0.31643835616438354,0.3832191780821918,0.505046647389383,72279.0,146894.0
36,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18169,13219,4950,18169,0,6014,1090,6115,7.240714123609956,8.019648852440971,0.3365622764048654,0.5235445205479452,0.6168664383561644,0.27244207166052065,95715.0,145709.0
37,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18220,9050,9170,18220,0,4509,793,3748,8.084861878453038,8.100164654226125,0.20570801317233808,0.3208904109589041,0.38878424657534244,0.5032930845225028,73168.0,147585.0
37,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18283,13176,5107,18283,0,6029,1053,6094,7.338721918639951,8.133621396926106,0.333315101460373,0.5217465753424657,0.6119006849315068,0.27933052562489746,96695.0,148707.0
38,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18198,9037,9161,18198,0,4509,832,3696,8.221201726236583,8.240630838553686,0.20309924167490934,0.31643835616438354,0.38767123287671235,0.5034069677986592,74295.0,149963.0
38,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18638,13168,5470,18638,0,6029,1055,6084,7.405072904009721,8.234145294559502,0.3264298744500483,0.5208904109589041,0.6112157534246575,0.293486425582144,97510.0,153468.0
39,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18266,9148,9118,18266,0,4536,805,3807,8.124289462177526,8.14573524581189,0.2084200153290266,0.3259417808219178,0.39486301369863014,0.49917880214606375,74321.0,148790.0
39,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18392,13131,5261,18392,0,6082,1036,6013,7.326174701089026,8.142725097868638,0.326935624184428,0.5148116438356164,0.6035102739726027,0.28604828186167897,96200.0,149761.0
40,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18145,9109,9036,18145,0,4609,831,3667,8.192117685805247,8.207825847340866,0.20209424083769634,0.3139554794520548,0.3851027397260274,0.49798842656379166,74622.0,148931.0
40,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18285,13086,5199,18285,0,5901,1039,6144,7.405089408528198,8.218922614164615,0.33601312551271534,0.5260273972602739,0.6149828767123288,0.28433141919606236,96903.0,150283.0
41,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,17946,8816,9130,17946,0,4378,768,3670,7.959505444646098,7.957595007243954,0.20450239607712026,0.3142123287671233,0.37996575342465755,0.5087484676250975,70171.0,142807.0
41,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18034,13288,4746,18034,0,6051,1044,6193,7.2218543046357615,7.974769879117223,0.3434068980814018,0.530222602739726,0.6196061643835616,0.26316956859265833,95964.0,143817.0
42,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18153,9080,9073,18153,0,4502,843,3730,8.131497797356829,8.114967223048533,0.20547567895113755,0.3193493150684932,0.39152397260273974,0.499807194403129,73834.0,147311.0
42,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18323,13099,5224,18323,0,5988,1030,6077,7.35857699060997,8.170605250231949,0.33165966271898706,0.520291095890411,0.6084760273972603,0.28510615073950774,96390.0,149710.0
43,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18341,9248,9093,18341,0,4668,833,3744,8.178416955017301,8.185758682732676,0.2041328171855406,0.32054794520547947,0.39186643835616436,0.49577449430238263,75634.0,150135.0
43,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18292,12973,5319,18292,0,5891,1037,6045,7.345101364372158,8.176853269188717,0.33047233763393835,0.5175513698630136,0.6063356164383562,0.2907828558932867,95288.0,149571.0
44,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18462,9112,9350,18462,0,4575,752,3785,8.073748902546093,8.090076914743799,0.2050157079406348,0.3240582191780822,0.3884417808219178,0.5064456721915286,73568.0,149359.0
44,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18240,13096,5144,18240,0,5948,1049,6099,7.312996334758705,8.114583333333334,0.334375,0.5221746575342465,0.611986301369863,0.2820175438596491,95771.0,148010.0
45,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18306,9092,9214,18306,0,4533,815,3744,8.098218213814341,8.143013219709385,0.20452310717797442,0.32054794520547947,0.3903253424657534,0.5033322407953676,73629.0,149066.0
45,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18216,13092,5124,18216,0,5975,1043,6074,7.3755728689275895,8.166721563460694,0.3334431269213878,0.5200342465753425,0.6093321917808219,0.28129117259552044,96561.0,148765.0
46,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18318,9194,9124,18318,0,4612,775,3807,8.141179029802045,8.145212359427886,0.20782836554208975,0.3259417808219178,0.3922945205479452,0.4980893110601594,74850.0,149204.0
46,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18046,13055,4991,18046,0,5976,1012,6065,7.352508617387974,8.150282611104954,0.33608555912667626,0.519263698630137,0.6059075342465754,0.2765709852598914,95987.0,147080.0
47,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18222,9233,8989,18222,0,4644,835,3754,8.105599480125637,8.113324552738447,0.2060147074964329,0.3214041095890411,0.39289383561643837,0.4933047963999561,74839.0,147841.0
47,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18204,13065,5139,18204,0,5976,1075,6014,7.315346345197091,8.120687760931663,0.3303669523181718,0.5148972602739726,0.6069349315068493,0.28230059327620305,95575.0,147829.0
48,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18396,9180,9216,18396,0,4646,836,3697,8.223202614379085,8.229778212654924,0.20096760165253316,0.31652397260273973,0.38809931506849316,0.5009784735812133,75489.0,151395.0
48,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18443,13081,5362,18443,0,5934,1058,6089,7.4543230639859335,8.272623759692024,0.3301523613295017,0.5213184931506849,0.6119006849315068,0.2907336116683837,97510.0,152572.0
49,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18367,9106,9261,18367,0,4599,851,3656,8.047551065231715,8.05705885555616,0.1990526487722546,0.313013698630137,0.38587328767123286,0.5042195241465672,73281.0,147984.0
49,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18101,13217,4884,18101,0,6055,1026,6136,7.287735492169176,8.05568753107563,0.33898679630959616,0.5253424657534247,0.6131849315068493,0.26981934699740345,96322.0,145816.0
50,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18150,9095,9055,18150,0,4614,797,3680,8.095107201759209,8.119779614325068,0.20275482093663913,0.3150684931506849,0.38330479452054794,0.49889807162534433,73625.0,147374.0
50,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18318,13169,5149,18318,0,5969,1052,6144,7.302073050345508,8.109946500709684,0.3354077956108745,0.5260273972602739,0.6160958904109589,0.2810896386068348,96161.0,148558.0
51,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18285,9185,9100,18285,0,4620,844,3721,8.141317365269462,8.121629751162155,0.20350013672409079,0.3185787671232877,0.3908390410958904,0.49767569045665844,74778.0,148504.0
51,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18006,13038,4968,18006,0,5926,973,6135,7.272511121337629,8.064145284905031,0.34071976007997334,0.5252568493150684,0.6085616438356164,0.27590803065644787,94819.0,145203.0
52,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18245,8993,9252,18245,0,4532,833,3628,8.1224285555432,8.129240887914497,0.19884899972595232,0.31061643835616437,0.3819349315068493,0.5070978350232941,73045.0,148318.0
52,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18280,13147,5133,18280,0,5922,1025,6200,7.305392865292462,8.093107221006564,0.33916849015317285,0.5308219178082192,0.6185787671232876,0.28079868708971556,96044.0,147942.0
53,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18162,9178,8984,18162,0,4641,807,3730,8.19971671388102,8.188690672833388,0.2053738575046801,0.3193493150684932,0.3884417808219178,0.49465917850457,75257.0,148723.0
53,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18152,12948,5204,18152,0,5828,1055,6065,7.351096694470188,8.173699867783164,0.3341229616571177,0.519263698630137,0.6095890410958904,0.2866901718818863,95182.0,148369.0
54,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18171,9063,9108,18171,0,4560,830,3673,8.186251793004525,8.179681910736889,0.20213527048593913,0.31446917808219177,0.38553082191780824,0.5012382367508668,74192.0,148633.0
54,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18404,13098,5306,18404,0,5941,1064,6093,7.352114826691098,8.175722668985003,0.33106933275374917,0.5216609589041096,0.6127568493150685,0.28830688980656377,96298.0,150466.0
55,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18219,9096,9123,18219,0,4576,809,3711,8.078166226912929,8.09737087655744,0.20368845710521982,0.317722602739726,0.386986301369863,0.5007409846863164,73479.0,147526.0
55,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18308,13084,5224,18308,0,5920,1072,6092,7.332467135432589,8.131199475639065,0.3327507100720996,0.5215753424657534,0.6133561643835617,0.2853397421892069,95938.0,148866.0
56,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18329,9250,9079,18329,0,4650,814,3784,8.14227027027027,8.140105843199303,0.20644879698837906,0.323972602739726,0.39366438356164385,0.4953352610617055,75316.0,149200.0
56,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18178,13018,5160,18178,0,5940,1012,6065,7.317406667690889,8.129552205963252,0.3336450654637474,0.519263698630137,0.6059075342465754,0.28385961051820885,95258.0,147779.0
57,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18279,9209,9070,18279,0,4594,823,3791,8.132479096535997,8.150500574429673,0.20739646588981892,0.3245719178082192,0.3950342465753425,0.4961978226379999,74892.0,148983.0
57,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18219,13020,5199,18219,0,5940,1039,6041,7.371428571428571,8.18606948789725,0.33157692518799053,0.5172089041095891,0.6061643835616438,0.2853614358636588,95976.0,149142.0
58,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18291,9162,9129,18291,0,4586,833,3743,8.092228771010696,8.085233174785413,0.20463615986004047,0.3204623287671233,0.3917808219178082,0.49909791700836476,74141.0,147887.0
58,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18160,13038,5122,18160,0,5925,1014,6099,7.310093572633839,8.110958149779735,0.33584801762114536,0.5221746575342465,0.6089897260273973,0.28204845814977975,95309.0,147295.0
